Date,Value (million kWh),Description
2005-01-01,-725.387,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-02-01,-345.608,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-03-01,-496.889,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-04-01,-337.538,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-05-01,-466.254,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-06-01,-414.615,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-07-01,-624.662,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-08-01,-623.097,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-09-01,-680.144,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-10-01,-611.21,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-11-01,-554.21,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2005-12-01,-678.175,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-01-01,-532.829,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-02-01,-446.518,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-03-01,-435.173,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-04-01,-587.331,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-05-01,-444.378,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-06-01,-423.163,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-07-01,-637.767,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-08-01,-694.881,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-09-01,-628.94,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-10-01,-506.995,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-11-01,-552.544,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2006-12-01,-667.323,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-01-01,-571.563,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-02-01,-446.964,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-03-01,-458.17,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-04-01,-373.845,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-05-01,-546.955,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-06-01,-522.707,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-07-01,-594.694,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-08-01,-650.678,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-09-01,-743.432,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-10-01,-760.235,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-11-01,-661.727,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2007-12-01,-565.382,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-01-01,-745.514,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-02-01,-451.129,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-03-01,-552.974,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-04-01,-131.7,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-05-01,-586.857,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-06-01,-371.618,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-07-01,-799.08,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-08-01,-647.864,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-09-01,-517.254,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-10-01,-496.943,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-11-01,-489.183,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2008-12-01,-497.946,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-01-01,-501.48,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-02-01,-413.424,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-03-01,-314.985,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-04-01,-272.198,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-05-01,-348.823,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-06-01,-226.41,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-07-01,-491.31,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-08-01,-612.532,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-09-01,-348.039,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-10-01,-385.127,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-11-01,-329.53,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2009-12-01,-383.487,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-01-01,-564.946,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-02-01,-350.643,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-03-01,-324.588,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-04-01,-335.277,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-05-01,-440.745,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-06-01,-471.738,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-07-01,-557.093,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-08-01,-600.278,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-09-01,-421.284,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-10-01,-437.7,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-11-01,-466.993,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2010-12-01,-529.847,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-01-01,-659.194,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-02-01,-412.649,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-03-01,-348.692,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-04-01,-465.589,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-05-01,-416.908,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-06-01,-567.088,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-07-01,-707.662,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-08-01,-692.329,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-09-01,-583.392,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-10-01,-600.542,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-11-01,-457.754,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2011-12-01,-508.719,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-01-01,-348.465,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-02-01,-236.66,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-03-01,-280.701,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-04-01,-265.273,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-05-01,-370.778,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-06-01,-506.741,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-07-01,-618.974,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-08-01,-528.912,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-09-01,-430.544,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-10-01,-378.213,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-11-01,-408.968,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2012-12-01,-576.268,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-01-01,-464.948,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-02-01,-319.58,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-03-01,-462.214,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-04-01,-292.192,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-05-01,-334.035,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-06-01,-358.223,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-07-01,-340.468,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-08-01,-464.51,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-09-01,-438.55,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-10-01,-372.598,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-11-01,-413.042,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2013-12-01,-420.673,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-01-01,-289.685,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-02-01,-445.152,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-03-01,-421.403,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-04-01,-378.109,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-05-01,-600.752,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-06-01,-653.046,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-07-01,-544.656,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-08-01,-840.357,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-09-01,-541.876,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-10-01,-447.609,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-11-01,-531.042,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2014-12-01,-479.861,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-01-01,-551.05,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-02-01,-456.06,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-03-01,-409.305,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-04-01,-214.411,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-05-01,-370.209,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-06-01,-397.811,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-07-01,-513.417,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-08-01,-625.878,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-09-01,-544.042,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-10-01,-443.327,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-11-01,-285.276,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2015-12-01,-280.702,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-01-01,-311.758,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-02-01,-398.558,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-03-01,-384.067,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-04-01,-451.878,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-05-01,-320.717,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-06-01,-497.303,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-07-01,-783.894,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-08-01,-902.068,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-09-01,-715.35,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-10-01,-560.77,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-11-01,-606.895,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2016-12-01,-752.869,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-01-01,-435.366,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-02-01,-507.911,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-03-01,-521.035,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-04-01,-438.729,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-05-01,-423.168,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-06-01,-567.516,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-07-01,-759.494,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-08-01,-638.234,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-09-01,-606.081,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-10-01,-462.982,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-11-01,-478.107,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2017-12-01,-655.925,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2018-01-01,-547.331,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2018-02-01,-315.144,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2018-03-01,-489.962,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2018-04-01,-376.898,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2018-05-01,-390.083,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
2018-06-01,-433.324,"Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors"
