Date,Gross domestic product,US GDP by Oil and Gas Extraction,GDP % from O&G
2005-01-01,12761.3,133.5,1.05
2005-04-01,12910,143.7,1.11
2005-07-01,13142.9,160.6,1.22
2005-10-01,13332.3,186.3,1.40
2006-01-01,13603.9,181.2,1.33
2006-04-01,13749.8,179.5,1.31
2006-07-01,13867.5,180.7,1.30
2006-10-01,14037.2,174.2,1.24
2007-01-01,14208.6,180.6,1.27
2007-04-01,14382.4,205.7,1.43
2007-07-01,14535,206,1.42
2007-10-01,14681.5,231.1,1.57
2008-01-01,14651,245.4,1.67
2008-04-01,14805.6,307,2.07
2008-07-01,14835.2,305.6,2.06
2008-10-01,14559.5,228.1,1.57
2009-01-01,14394.5,173.7,1.21
2009-04-01,14352.9,164.7,1.15
2009-07-01,14420.3,167.5,1.16
2009-10-01,14628,185.6,1.27
2010-01-01,14721.4,201.5,1.37
2010-04-01,14926.1,182.2,1.22
2010-07-01,15079.9,179.5,1.19
2010-10-01,15240.8,192.1,1.26
2011-01-01,15285.8,203.7,1.33
2011-04-01,15496.2,224.1,1.45
2011-07-01,15591.9,216.8,1.39
2011-10-01,15796.5,227.8,1.44
2012-01-01,16019.8,230.3,1.44
2012-04-01,16152.3,216.6,1.34
2012-07-01,16257.2,217.6,1.34
2012-10-01,16358.9,230.5,1.41
2013-01-01,16569.6,239.9,1.45
2013-04-01,16637.9,253.6,1.52
2013-07-01,16848.7,267.9,1.59
2013-10-01,17083.1,259,1.52
2014-01-01,17104.6,278,1.63
2014-04-01,17432.9,294.2,1.69
2014-07-01,17721.7,289.5,1.63
2014-10-01,17849.9,251.4,1.41
2015-01-01,18003.4,171.7,0.95
2015-04-01,18223.6,172.1,0.94
2015-07-01,18347.4,153.4,0.84
2015-10-01,18378.8,135.7,0.74
2016-01-01,18470.2,116.5,0.63
2016-04-01,18656.2,135.4,0.73
2016-07-01,18821.4,144.1,0.77
2016-10-01,19032.6,158.2,0.83
2017-01-01,19237.4,169.9,0.88
2017-04-01,19379.2,167.2,0.86
2017-07-01,19617.3,168.9,0.86
2017-10-01,19938,192.6,0.97
2018-01-01,20242.2,201.5,1.00
2018-04-01,20552.7,212.7,1.03
2018-07-01,20742.7,226.2,1.09
2018-10-01,20909.9,218.8,1.05
2019-01-01,21115.3,198.1,0.94
2019-04-01,21329.9,199.5,0.94
2019-07-01,21540.3,186,0.86
2019-10-01,21747.4,188.8,0.87
