"Gross domestic product (GDP) at basic prices, by industry, monthly, industry detail (x 1,000,000) 1 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0434-04 (formerly CANSIM 379-0031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chained (2012) dollars 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS),Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, fishing and hunting  [11]","28,095","27,638","28,461","28,216","28,397","28,848","28,793","28,054","27,649","27,501","27,634","28,143","28,525","28,595","28,462","28,532","28,410","28,144","27,913","28,118","28,328","28,420","27,531","26,967","25,951","26,256","26,189","26,845","26,732","27,055","26,642","27,515","27,755","28,115","28,595","29,025","29,482","29,727","29,923","29,958","29,856","29,037","29,473","29,347","29,329","29,947","30,196","31,276","31,172","31,133","31,615","31,905","32,204","32,840","33,255","33,211","33,165","33,170","33,045","32,817","32,211","31,793","31,998","31,966","32,791","33,081","33,426","33,546","33,567","33,107","32,529","32,517","32,856","33,232","33,032","32,950","32,913","32,978","32,438","31,873","31,934","31,316","31,370","31,391","31,238","31,039","30,442","29,844","29,647","29,477","29,960","30,737","30,377","30,594","31,046","31,000","30,845","31,502","32,081","32,573","32,314","32,520","33,115","33,356","33,463","33,786","33,396","32,776","32,856","32,602","31,875","31,306","30,160","30,129","30,330","30,002","30,418","30,531","30,887","30,725","30,917","31,188","31,143","31,278","31,258","31,280","31,554","31,463","31,576","31,500","31,560","31,952","32,311","32,402","32,837","32,892","32,767","32,487","32,391","32,817","32,776","32,756","32,856","32,772","32,185","32,125","31,869","32,173","32,215","32,530","32,972","33,317","33,517","34,028","34,681","35,553","36,414","37,156","37,805","38,279","38,811","39,076","39,657","40,033","40,028","39,728","39,267","38,780","37,339","36,775","36,622","36,471","36,177","36,012","35,905","35,516","35,407","35,730","35,866","36,221","36,462","36,916","37,002","37,399","37,578","37,578","37,808","37,965","38,245","38,516","38,532","38,939","39,052","38,822","38,865","38,827","38,979","39,223","39,419","39,457","39,715","39,886","39,704","39,627","39,781","39,951","40,104","39,842","39,872","39,662","39,890","39,795","39,682","39,504","39,697","39,664","39,758","40,016","39,994","40,399","40,585","40,503","40,361","40,295","40,112","39,989","40,091","40,081","40,527","40,223","40,349","40,651","41,172","41,407","41,374","41,120","41,017","42,259","41,436","40,718","40,665","41,001","41,397","41,228","41,985","42,196","42,008","42,010"
Crop and animal production  [11A] 4,"19,970","19,602","19,943","19,713","19,561","19,610","19,593","19,584","19,650","19,629","19,621","19,635","19,922","19,869","19,891","19,813","19,881","19,865","19,733","19,597","19,747","19,393","19,184","18,809","18,476","18,345","17,924","18,049","18,007","18,270","18,366","18,302","18,399","18,609","18,962","19,367","20,056","20,379","20,578","20,866","20,896","20,971","21,322","21,462","21,607","21,941","21,994","22,436","22,802","22,795","23,320","23,472","23,508","23,716","23,975","23,898","24,041","23,935","23,954","24,048","23,845","23,559","23,676","23,727","23,932","23,830","23,798","23,962","24,173","23,927","23,841","24,026","24,180","24,176","24,071","23,942","23,897","23,909","23,864","23,538","23,673","23,439","23,173","23,053","22,678","22,473","22,096","21,854","21,980","21,732","21,871","22,454","22,250","22,835","23,074","23,312","23,588","24,019","24,476","24,935","25,169","25,350","25,545","25,696","25,801","25,881","25,856","25,617","25,395","25,308","24,970","24,816","24,473","24,464","24,509","24,238","24,180","24,064","24,063","23,966","23,858","23,966","23,964","23,896","23,974","24,166","24,233","24,305","24,374","24,380","24,413","24,500","24,657","24,629","24,930","24,888","25,036","25,198","25,197","25,224","25,195","25,169","25,216","24,939","24,563","24,666","24,601","24,658","24,855","25,012","25,248","25,605","25,925","26,510","27,195","27,980","28,923","29,571","30,101","30,465","30,948","31,161","31,782","32,146","32,120","31,772","31,294","30,733","29,396","28,939","28,743","28,684","28,235","27,866","27,523","27,156","27,134","27,566","27,810","28,136","28,258","28,638","28,805","29,187","29,418","29,643","29,982","30,169","30,382","30,555","30,666","31,081","30,989","31,110","31,348","31,455","31,525","31,748","31,940","32,037","32,186","32,278","32,202","32,194","32,276","32,304","32,365","32,179","32,335","32,284","32,399","32,365","32,171","32,029","32,261","32,212","32,299","32,458","32,443","32,772","32,971","32,968","32,883","33,008","33,012","32,969","32,863","32,822","33,230","32,986","33,091","33,514","33,859","34,039","34,121","33,984","34,153","35,698","35,029","34,299","34,190","34,557","34,765","34,576","35,480","36,253","35,775","35,583"
Crop production  [111],"15,710","15,563","15,598","15,441","15,397","15,225","15,131","15,043","15,009","14,890","14,864","14,854","14,856","14,762","14,678","14,598","14,536","14,404","14,307","14,186","14,049","14,035","13,918","13,702","13,490","13,369","13,302","13,342","13,333","13,402","13,435","13,562","13,744","13,952","14,256","14,638","15,102","15,475","15,757","15,890","16,129","16,308","16,647","16,790","16,932","17,125","17,116","17,384","17,759","17,654","17,943","17,988","17,989","18,038","18,112","18,162","18,179","18,218","18,312","18,390","18,409","18,412","18,413","18,464","18,581","18,533","18,522","18,597","18,741","18,809","18,990","19,054","19,303","19,407","19,283","19,118","19,143","19,161","19,070","18,909","18,822","18,568","18,302","18,050","17,535","17,392","16,994","16,864","16,731","16,805","16,950","17,256","17,393","17,599","17,939","18,480","18,946","19,379","19,833","20,113","20,379","20,548","20,645","20,776","20,856","20,831","20,747","20,559","20,305","20,171","19,874","19,726","19,546","19,426","19,236","19,048","18,932","18,859","18,783","18,689","18,672","18,572","18,591","18,580","18,600","18,719","18,901","18,970","19,033","19,104","19,242","19,336","19,596","19,732","19,946","20,038","20,125","20,150","20,096","20,094","20,091","20,096","20,071","19,977","19,634","19,505","19,539","19,632","19,795","19,990","20,293","20,663","21,094","21,612","22,273","23,062","23,993","24,670","25,220","25,504","25,946","26,452","27,118","27,455","27,474","27,127","26,642","26,007","25,154","24,544","24,143","23,813","23,447","23,000","22,414","22,018","21,915","22,100","22,319","22,633","22,991","23,363","23,732","24,020","24,293","24,600","24,839","25,103","25,338","25,528","25,690","25,883","25,961","26,128","26,278","26,415","26,542","26,691","26,837","26,952","27,024","27,051","27,027","27,062","27,122","27,133","27,121","27,093","27,053","27,038","27,005","26,942","26,820","26,712","26,719","26,834","26,983","27,123","27,217","27,245","27,301","27,424","27,516","27,592","27,611","27,607","27,565","27,508","27,715","27,386","27,611","28,088","28,453","28,503","28,731","28,684","28,708","30,235","29,525","28,752","28,636","29,095","29,246","29,283","29,989","30,767","30,260","30,112"
Crop production (except cannabis)  [111X],"15,506","15,342","15,341","15,135","15,026","14,778","14,595","14,407","14,261","14,026","13,873","13,727","13,586","13,371","13,176","12,995","12,841","12,634","12,466","12,284","12,098","12,024","11,867","11,631","11,406","11,270","11,188","11,206","11,190","11,250","11,289","11,415","11,598","11,812","12,120","12,510","12,987","13,386","13,708","13,899","14,180","14,409","14,775","14,963","15,146","15,370","15,407","15,687","16,057","15,991","16,278","16,343","16,362","16,424","16,503","16,558","16,579","16,617","16,702","16,769","16,778","16,771","16,759","16,793","16,885","16,824","16,798","16,846","16,956","16,994","17,134","17,165","17,362","17,423","17,273","17,081","17,052","17,013","16,870","16,658","16,507","16,205","15,886","15,576","15,033","14,828","14,423","14,262","14,115","14,158","14,276","14,547","14,693","14,918","15,277","15,833","16,351","16,831","17,319","17,642","17,938","18,132","18,246","18,372","18,434","18,386","18,268","18,042","17,741","17,553","17,231","17,045","16,837","16,684","16,481","16,283","16,152","16,063","15,975","15,876","15,849","15,752","15,761","15,746","15,759","15,858","16,015","16,077","16,138","16,206","16,336","16,431","16,669","16,800","16,995","17,085","17,164","17,190","17,146","17,142","17,135","17,132","17,099","17,006","16,647","16,517","16,536","16,612","16,756","16,936","17,218","17,568","17,980","18,481","19,118","19,883","20,791","21,468","22,019","22,319","22,737","23,190","23,759","24,014","23,966","23,575","23,045","22,369","21,492","20,849","20,403","20,034","19,652","19,216","18,681","18,315","18,206","18,345","18,525","18,794","19,104","19,431","19,753","20,021","20,273","20,551","20,772","21,020","21,247","21,433","21,589","21,766","21,839","21,986","22,136","22,274","22,402","22,544","22,680","22,798","22,873","22,904","22,888","22,916","22,952","22,958","22,957","22,937","22,918","22,911","22,872","22,837","22,747","22,681","22,655","22,655","22,638","22,637","22,631","22,604","22,585","22,605","22,571","22,562","22,549","22,559","22,554","22,549","22,463","22,328","22,218","22,119","22,032","21,990","21,950","21,910","21,929","21,985","22,098","22,163","22,222","22,370","22,394","22,368","22,500","22,593","22,727","22,786"
Cannabis production  [111C],"1,606","1,599","1,601","1,609","1,617","1,624","1,629","1,645","1,671","1,708","1,748","1,791","1,837","1,874","1,903","1,924","1,946","1,970","1,995","2,020","2,044","2,066","2,078","2,078","2,068","2,064","2,067","2,077","2,083","2,085","2,084","2,086","2,093","2,103","2,116","2,130","2,147","2,160","2,167","2,170","2,173","2,176","2,179","2,186","2,195","2,208","2,216","2,220","2,221","2,219","2,213","2,205","2,197","2,191","2,186","2,184","2,184","2,188","2,200","2,222","2,253","2,270","2,275","2,265","2,262","2,265","2,276","2,287","2,302","2,319","2,343","2,374","2,412","2,440","2,457","2,466","2,475","2,487","2,500","2,515","2,528","2,542","2,557","2,572","2,589","2,598","2,600","2,594","2,590","2,587","2,584","2,582","2,582","2,584","2,588","2,591","2,594","2,589","2,598","2,596","2,596","2,609","2,613","2,630","2,635","2,655","2,663","2,686","2,711","2,722","2,731","2,753","2,761","2,782","2,788","2,793","2,811","2,814","2,816","2,818","2,819","2,832","2,832","2,831","2,843","2,842","2,853","2,864","2,875","2,872","2,881","2,904","2,913","2,922","2,931","2,940","2,949","2,959","2,955","2,965","2,975","2,986","2,984","2,981","2,979","2,978","2,979","3,006","3,022","3,039","3,070","3,090","3,124","3,160","3,184","3,210","3,237","3,264","3,290","3,316","3,356","3,381","3,409","3,434","3,445","3,469","3,494","3,504","3,514","3,538","3,548","3,573","3,598","3,610","3,636","3,662","3,689","3,718","3,746","3,775","3,771","3,816","3,860","3,877","3,894","3,921","3,937","3,949","3,956","3,958","3,960","3,973","3,983","3,999","3,995","3,990","3,987","3,990","3,998","3,992","3,987","3,981","3,974","3,980","4,006","4,007","4,000","3,988","3,969","3,961","3,969","3,939","3,908","3,862","3,899","4,024","4,202","4,356","4,463","4,523","4,610","4,715","4,852","4,944","4,979","4,965","4,924","4,867","5,186","4,980","5,344","5,968","6,458","6,559","6,849","6,843","6,848","8,435","7,545","6,636","6,447","6,779","6,916","6,984","7,602","8,339","7,645","7,419"
Cannabis production (licensed)  [111CL],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,2,2,4,4,4,4,4,6,6,6,8,9,12,15,16,16,20,21,21,22,23,26,26,27,29,29,32,30,31,36,40,44,47,53,57,64,79,86,93,98,104,111,118,125,131,137,145,153,171,179,180,180,182,187,194,184,162,130,153,234,347,453,536,602,648,669,675,768,946,"1,211","1,372","1,433","1,767","1,599","1,985","2,630","3,147","3,284","3,593","3,613","3,655","5,203","4,389","3,558","3,415","3,760","3,920","4,014","4,633","5,367","4,722","4,525"
