Year,Quarter,        Gross domestic product,Private industries,"    Agriculture, forestry, fishing, and hunting",        Farms,"        Forestry, fishing, and related activities",    Mining,        Oil and gas extraction,"        Mining, except oil and gas",        Support activities for mining,    Utilities,    Construction,    Manufacturing,        Durable goods,            Wood products,            Nonmetallic mineral products,            Primary metals,            Fabricated metal products,            Machinery,            Computer and electronic products,"            Electrical equipment, appliances, and components","            Motor vehicles, bodies and trailers, and parts",            Other transportation equipment,            Furniture and related products,            Miscellaneous manufacturing,        Nondurable goods,            Food and beverage and tobacco products,            Textile mills and textile product mills,            Apparel and leather and allied products,            Paper products,            Printing and related support activities,            Petroleum and coal products,            Chemical products,            Plastics and rubber products,    Wholesale trade,    Retail trade,        Motor vehicle and parts dealers,        Food and beverage stores,        General merchandise stores,        Other retail,    Transportation and warehousing,        Air transportation,        Rail transportation,        Water transportation,        Truck transportation,        Transit and ground passenger transportation,        Pipeline transportation,        Other transportation and support activities,        Warehousing and storage,    Information,"        Publishing industries, except internet (includes software)",        Motion picture and sound recording industries,        Broadcasting and telecommunications,"        Data processing, internet publishing, and other information services","    Finance, insurance, real estate, rental, and leasing",        Finance and insurance,"            Federal Reserve banks, credit intermediation, and related activities","            Securities, commodity contracts, and investments",            Insurance carriers and related activities,"            Funds, trusts, and other financial vehicles",        Real estate and rental and leasing,            Real estate,                Housing,                Other real estate,            Rental and leasing services and lessors of intangible assets,    Professional and business services,"        Professional, scientific, and technical services",            Legal services,            Computer systems design and related services,"            Miscellaneous professional, scientific, and technical services",        Management of companies and enterprises,        Administrative and waste management services,            Administrative and support services,            Waste management and remediation services,"    Educational services, health care, and social assistance",        Educational services,        Health care and social assistance,            Ambulatory health care services,            Hospitals,            Nursing and residential care facilities,            Social assistance,"    Arts, entertainment, recreation, accommodation, and food services","        Arts, entertainment, and recreation","            Performing arts, spectator sports, museums, and related activities","            Amusements, gambling, and recreation industries",        Accommodation and food services,            Accommodation,            Food services and drinking places,"    Other services, except government",Government,    Federal,        General government,            National defense,            Nondefense,        Government enterprises,    State and local,        General government,        Government enterprises,    Addenda:,            Private goods-producing industries1,            Private services-producing industries2,            Information-communications-technology-producing industries3
2005,Q1,12761.3,11077.8,130.5,106.9,23.6,197,133.5,39.8,23.7,192.3,628.5,1673,945.5,34.8,47.9,57.9,120.7,112.5,209.7,42,136.9,84.3,32.8,65.9,727.5,174.7,21.2,14.1,51.6,43.9,134.6,223.4,64,742.8,824.8,155.9,120.6,119.4,428.9,358.2,58.5,26.8,8.4,110.9,22.8,10.8,83.8,36.2,641.9,170.9,67,333.2,70.7,2543,937.8,397.1,177.7,339.6,23.4,1605.1,1464.8,1184.8,280,140.3,1415,835.7,192.7,131.3,511.6,209.4,369.9,336.5,33.4,953.2,131.1,822.1,389,270.8,91.3,70.9,471.7,118.9,64.6,54.3,352.8,107.1,245.8,306,1683.5,543.7,479.9,295.4,184.5,63.8,1139.8,1049.7,90.1,,2629,8448.8,---
2005,Q2,12910,11209.9,130.7,107.1,23.5,210.3,143.7,42.1,24.5,189.7,643.7,1667.8,946.6,34.5,48.4,55.1,121.8,112.3,208.1,41.8,135.8,89.5,33.5,65.8,721.2,177,20.6,13.8,51.3,44.1,132,219.8,62.6,745.2,834.4,155.2,122.1,122.1,435,368.7,61.5,27.5,8.2,114.8,23.7,9.7,86.1,37.3,649.6,174.1,62.4,343.1,70.1,2587.6,960.5,405.9,186.8,344.1,23.6,1627.1,1487.5,1203.7,283.8,139.7,1433.3,843.6,193.8,133.6,516.3,211.4,378.3,344.7,33.5,962.7,132.4,830.3,393.8,272.4,92.3,71.8,477.6,121.1,65.9,55.2,356.4,108.2,248.2,308.6,1700.2,547.9,485.3,299,186.3,62.6,1152.2,1060.7,91.6,,2652.5,8557.4,---
2005,Q3,13142.9,11423.9,128.3,104.4,23.8,232.7,160.6,44.1,28,200,664.2,1703.1,960.4,34.5,49.1,54.5,122.7,115.4,213.6,43.4,136.3,90.3,34.1,66.5,742.6,180,20.4,13.9,50.9,44.9,148.7,221.8,62.1,759.7,846.2,160.7,123.1,120.1,442.3,382.5,63.3,28.3,8.8,119.5,23,9.6,91.3,38.6,638.8,172.8,61.5,332.7,71.9,2635.6,988.7,412.2,200.7,352,23.7,1647,1503,1222,281.1,144,1457.8,857.8,196.1,137,524.6,216.9,383.1,349.2,34,977.5,134.2,843.3,400.5,276.5,93.3,73,485.1,123.8,68.2,55.5,361.4,109.8,251.5,312.5,1719,553.1,490.7,303,187.7,62.3,1165.9,1073.3,92.6,,2728.2,8695.8,---
2005,Q4,13332.3,11593.9,124,99.4,24.6,262.8,186.3,45.5,31,210.6,670.8,1729.9,974.6,35,49.9,57.5,124.2,117.4,213.7,45.7,134.9,94.9,34.5,66.9,755.3,183,20.6,13.5,53,44.9,149.4,227.7,63.2,772.1,858,160.6,124.5,123,449.9,393.9,63.6,29.4,9.9,122.5,24.7,9.3,94.2,40.3,639,172.8,61.5,329.7,75,2658.5,1007.8,417.2,209.8,357.9,23,1650.6,1501.3,1241.1,260.2,149.3,1479.6,872.5,198.1,137.7,536.6,218.8,388.3,354.6,33.6,988.6,135.2,853.3,404.7,280.2,94.3,74.1,490.5,125.1,69.6,55.5,365.4,110.6,254.8,315.7,1738.4,560.4,497.4,307.4,190,62.9,1178.1,1084.6,93.5,,2787.5,8806.4,---
2006,Q1,13603.9,11845,119.6,92.7,26.9,268.2,181.2,49.3,37.8,220.7,698.8,1780.3,1004.8,34.4,51.6,60.4,126.3,120.2,228.1,49.6,136.1,94,35.2,68.9,775.5,187.6,20.6,13.2,56.2,45.9,144,244.1,64,793.7,867.2,161.2,125.9,123.8,456.3,401.5,65.8,30.8,12,122.8,25.4,11.1,93.3,40.3,633.8,160.5,64.1,328.4,80.8,2694,1031.5,423.5,222.5,363.5,22.1,1662.6,1498.4,1263.6,234.7,164.2,1523.5,901.8,200.6,145.4,555.7,226.2,395.5,363.1,32.4,1017.4,140.2,877.2,417.5,288,96.4,75.2,505.3,128.8,72.7,56.2,376.5,114,262.5,321,1758.9,568.1,501.8,309.8,191.9,66.3,1190.9,1096.8,94,,2866.8,8978.2,---
2006,Q2,13749.8,11971.1,123.3,94.7,28.6,272.8,179.5,51.6,41.7,226.8,698.5,1797.6,1004.1,32,50.6,62.7,126.2,121.5,222,52,137,94.2,34.9,70.9,793.6,193.7,20.3,13,58.1,46.7,145.5,252.4,63.9,807.5,868.3,159,126,123.7,459.7,409.4,66.4,32.4,12.3,125.9,26.3,10.3,95.1,40.7,652.1,165.3,66.3,336.6,83.9,2712.5,1025.2,420.3,218.4,365.3,21.2,1687.4,1517.9,1285.4,232.6,169.4,1535.4,909.8,204.1,146.5,559.3,229.7,395.9,364.5,31.4,1032.1,142.4,889.8,422.3,293.5,97.3,76.6,509.7,130.5,73.9,56.6,379.3,115.1,264.1,324.9,1778.7,572.2,506.4,312.5,193.9,65.9,1206.5,1112.1,94.4,,2892.2,9078.8,---
2006,Q3,13867.5,12064.2,127.4,97,30.3,277.2,180.7,52.3,44.2,231.9,691.6,1793.6,994.2,30.5,49.8,64,126.2,121.4,220.9,52.1,128.6,95.6,34.2,70.9,799.4,195.8,20,12.7,58.7,47,141.8,259.5,64.1,818,873,160.8,126.1,123.7,462.3,412.5,70.3,32.8,12.8,126.2,24.7,10.5,94.4,40.8,664.7,164.9,68.4,349,82.5,2751.2,1029.7,417.4,216,375.6,20.7,1721.5,1551.3,1303.9,247.4,170.2,1546.8,918.8,205.2,149.8,563.8,229.8,398.2,367.2,31,1039,143.7,895.4,423.8,296.4,98,77.3,511.6,130,73.3,56.7,381.6,116.2,265.4,325.8,1803.3,578.4,513.2,317.2,195.9,65.3,1224.8,1130.2,94.6,,2889.8,9174.4,---
2006,Q4,14037.2,12210.2,130.3,100.7,29.6,275.1,174.2,54.1,46.7,228.1,699.5,1803.8,1014.6,29.8,50.1,63.7,128.5,124.4,225.4,52.1,134.5,101.3,33.9,71.1,789.3,198.3,19.5,12.6,59,47.7,128.7,259.4,64,826.8,871.3,160.9,125.6,124.4,460.4,418.1,69.6,32.5,13.8,127.1,27.1,11,95.6,41.3,657.3,158.2,71.4,347.1,80.6,2818,1050.4,414.5,229.5,385.7,20.7,1767.5,1599.3,1315.9,283.4,168.2,1580.9,937.9,208.4,154.1,575.4,236.2,406.8,374.8,31.9,1053.2,145.4,907.8,428.9,301.2,99.2,78.5,519.5,132.6,74.2,58.4,386.9,118.6,268.3,328.5,1827,583.4,518.2,320.8,197.5,65.2,1243.6,1149.1,94.5,,2908.7,9301.5,---
2007,Q1,14208.6,12354.1,143.6,115,28.6,282.1,180.6,54.1,47.3,228.3,715.1,1798.4,1010.7,29.8,48,63,132.2,124.9,223.2,49.3,130.5,105.4,33.5,71,787.7,190.6,19.7,12.3,53.9,47.8,136.5,262.4,64.5,846.3,869.3,161.4,124.1,124.3,459.4,407.8,71.2,31.5,14,122.1,25.9,12.3,90,40.8,673.7,182.5,70.5,356.6,64.1,2855.5,1073.9,402.8,240.9,409.3,20.9,1781.6,1621.2,1324.5,296.8,160.4,1614.2,950.5,212.4,160.4,577.7,248.4,415.3,381.2,34,1062.4,147.7,914.7,431.7,303.4,100.5,79.1,527,135.4,74.8,60.5,391.6,121.6,270,330.5,1854.5,589.8,525,323.9,201.1,64.8,1264.7,1170.6,94.1,,2939.2,9414.9,---
2007,Q2,14382.4,12508.5,138.9,110.2,28.7,314.5,205.7,59.5,49.3,233,722,1853.3,1029.3,29.4,49.9,63.7,134.7,129.7,227,50,126.7,113.4,32.9,71.9,824,195.3,19.4,11.9,53.4,47.5,162,269.7,64.9,856.8,869.7,163.8,123.6,124.3,458,415.3,77.5,31.6,14.2,123.8,26.2,13,88.1,40.8,695.3,189.5,75.7,368.2,61.9,2836.8,1044.9,401.6,206.8,414.9,21.7,1791.9,1632,1332.4,299.6,159.9,1638.2,963.7,210.9,164.3,588.5,249.1,425.5,390.3,35.2,1075.2,149.3,925.9,437,307.1,101.8,80,529.5,136.3,74.7,61.6,393.3,123.1,270.2,329.8,1873.9,597.8,531.6,328.1,203.5,66.2,1276.1,1182.5,93.7,,3028.7,9479.8,---
