Date,U.S. Exports of Crude Oil (Thousand Barrels)
2005-01-01,1239.0
2005-02-01,541.0
2005-03-01,1111.0
2005-04-01,1345.0
2005-05-01,1694.0
2005-06-01,640.0
2005-07-01,1058.0
2005-08-01,531.0
2005-09-01,727.0
2005-10-01,530.0
2005-11-01,1445.0
2005-12-01,759.0
2006-01-01,849.0
2006-02-01,415.0
2006-03-01,903.0
2006-04-01,794.0
2006-05-01,829.0
2006-06-01,987.0
2006-07-01,414.0
2006-08-01,472.0
2006-09-01,631.0
2006-10-01,1152.0
2006-11-01,714.0
2006-12-01,839.0
2007-01-01,294.0
2007-02-01,703.0
2007-03-01,1047.0
2007-04-01,573.0
2007-05-01,1117.0
2007-06-01,1565.0
2007-07-01,822.0
2007-08-01,1307.0
2007-09-01,1013.0
2007-10-01,337.0
2007-11-01,603.0
2007-12-01,626.0
2008-01-01,364.0
2008-02-01,578.0
2008-03-01,910.0
2008-04-01,419.0
2008-05-01,581.0
2008-06-01,659.0
2008-07-01,894.0
2008-08-01,1234.0
2008-09-01,1173.0
2008-10-01,1321.0
2008-11-01,916.0
2008-12-01,1413.0
2009-01-01,1122.0
2009-02-01,833.0
2009-03-01,943.0
2009-04-01,799.0
2009-05-01,1634.0
2009-06-01,1698.0
2009-07-01,971.0
2009-08-01,1091.0
2009-09-01,1265.0
2009-10-01,2241.0
2009-11-01,1365.0
2009-12-01,2022.0
2010-01-01,1008.0
2010-02-01,1621.0
2010-03-01,1395.0
2010-04-01,1095.0
2010-05-01,1121.0
2010-06-01,937.0
2010-07-01,2140.0
2010-08-01,1113.0
2010-09-01,1838.0
2010-10-01,728.0
2010-11-01,953.0
2010-12-01,1249.0
2011-01-01,2228.0
2011-02-01,847.0
2011-03-01,1126.0
2011-04-01,1227.0
2011-05-01,1148.0
2011-06-01,1066.0
2011-07-01,2263.0
2011-08-01,1047.0
2011-09-01,1065.0
2011-10-01,1568.0
2011-11-01,1928.0
2011-12-01,1646.0
2012-01-01,2425.0
2012-02-01,2127.0
2012-03-01,2196.0
2012-04-01,1228.0
2012-05-01,2571.0
2012-06-01,1381.0
2012-07-01,2388.0
2012-08-01,1866.0
2012-09-01,2038.0
2012-10-01,2079.0
2012-11-01,2201.0
2012-12-01,2191.0
2013-01-01,3384.0
2013-02-01,3705.0
2013-03-01,3310.0
2013-04-01,4151.0
2013-05-01,4034.0
2013-06-01,3723.0
2013-07-01,3217.0
2013-08-01,2192.0
2013-09-01,3162.0
2013-10-01,3679.0
2013-11-01,7578.0
2013-12-01,6834.0
2014-01-01,7698.0
2014-02-01,6907.0
2014-03-01,7794.0
2014-04-01,8448.0
2014-05-01,9567.0
2014-06-01,11833.0
2014-07-01,13045.0
2014-08-01,12136.0
2014-09-01,10479.0
2014-10-01,11653.0
2014-11-01,15619.0
2014-12-01,13053.0
2015-01-01,15342.0
2015-02-01,12380.0
2015-03-01,13565.0
2015-04-01,17969.0
2015-05-01,16338.0
2015-06-01,13355.0
2015-07-01,16934.0
2015-08-01,14286.0
2015-09-01,12314.0
2015-10-01,15503.0
2015-11-01,9592.0
2015-12-01,12162.0
2016-01-01,15176.0
2016-02-01,13161.0
2016-03-01,18471.0
2016-04-01,18714.0
2016-05-01,24414.0
2016-06-01,15915.0
2016-07-01,16612.0
2016-08-01,22331.0
2016-09-01,23241.0
2016-10-01,15552.0
2016-11-01,18170.0
2016-12-01,14518.0
2017-01-01,22046.0
2017-02-01,32092.0
2017-03-01,28831.0
2017-04-01,33835.0
2017-05-01,34049.0
2017-06-01,25953.0
2017-07-01,29642.0
2017-08-01,25338.0
2017-09-01,43899.0
2017-10-01,53327.0
2017-11-01,46323.0
2017-12-01,47184.0
2018-01-01,41587.0
2018-02-01,44944.0
2018-03-01,51813.0
2018-04-01,52668.0
2018-05-01,62165.0
2018-06-01,66008.0
2018-07-01,66302.0
2018-08-01,54228.0
2018-09-01,63470.0
2018-10-01,72096.0
2018-11-01,78278.0
2018-12-01,77842.0
2019-01-01,79830.0
2019-02-01,83721.0
2019-03-01,83196.0
2019-04-01,85276.0
2019-05-01,89908.0
