Date,Value,Description
2005-01-01,177013.907,"Electricity Net Generation From Coal, All Sectors"
2005-02-01,155818.014,"Electricity Net Generation From Coal, All Sectors"
2005-03-01,163612.7,"Electricity Net Generation From Coal, All Sectors"
2005-04-01,143083.239,"Electricity Net Generation From Coal, All Sectors"
2005-05-01,153957.962,"Electricity Net Generation From Coal, All Sectors"
2005-06-01,174866.997,"Electricity Net Generation From Coal, All Sectors"
2005-07-01,186090.757,"Electricity Net Generation From Coal, All Sectors"
2005-08-01,187573.754,"Electricity Net Generation From Coal, All Sectors"
2005-09-01,171656.215,"Electricity Net Generation From Coal, All Sectors"
2005-10-01,162436.793,"Electricity Net Generation From Coal, All Sectors"
2005-11-01,158797.527,"Electricity Net Generation From Coal, All Sectors"
2005-12-01,177965.18,"Electricity Net Generation From Coal, All Sectors"
2006-01-01,169236.081,"Electricity Net Generation From Coal, All Sectors"
2006-02-01,158616.189,"Electricity Net Generation From Coal, All Sectors"
2006-03-01,161325.115,"Electricity Net Generation From Coal, All Sectors"
2006-04-01,141426.234,"Electricity Net Generation From Coal, All Sectors"
2006-05-01,157009.755,"Electricity Net Generation From Coal, All Sectors"
2006-06-01,169693.478,"Electricity Net Generation From Coal, All Sectors"
2006-07-01,187820.872,"Electricity Net Generation From Coal, All Sectors"
2006-08-01,189454.93,"Electricity Net Generation From Coal, All Sectors"
2006-09-01,161590.354,"Electricity Net Generation From Coal, All Sectors"
2006-10-01,161389.659,"Electricity Net Generation From Coal, All Sectors"
2006-11-01,159439.517,"Electricity Net Generation From Coal, All Sectors"
2006-12-01,173508.951,"Electricity Net Generation From Coal, All Sectors"
2007-01-01,175739.438,"Electricity Net Generation From Coal, All Sectors"
2007-02-01,163602.813,"Electricity Net Generation From Coal, All Sectors"
2007-03-01,159811.074,"Electricity Net Generation From Coal, All Sectors"
2007-04-01,146249.541,"Electricity Net Generation From Coal, All Sectors"
2007-05-01,157513.281,"Electricity Net Generation From Coal, All Sectors"
2007-06-01,173512.884,"Electricity Net Generation From Coal, All Sectors"
2007-07-01,185053.788,"Electricity Net Generation From Coal, All Sectors"
2007-08-01,190134.816,"Electricity Net Generation From Coal, All Sectors"
2007-09-01,169391.273,"Electricity Net Generation From Coal, All Sectors"
2007-10-01,162234.356,"Electricity Net Generation From Coal, All Sectors"
2007-11-01,159382.455,"Electricity Net Generation From Coal, All Sectors"
2007-12-01,173829.866,"Electricity Net Generation From Coal, All Sectors"
2008-01-01,182875.504,"Electricity Net Generation From Coal, All Sectors"
2008-02-01,166666.355,"Electricity Net Generation From Coal, All Sectors"
