Date,Light Oil,Medium Oil,Heavy Oil,Oil Export (m3 per day)
2005-01-01,75902.45,16483.53,145992.84,238378.82
2005-02-01,83087.09,16602.91,136865.08,236555.08
2005-03-01,68671.61,17079.55,145111.1,230862.26
2005-04-01,75845.48,18255.43,152258.19,246359.1
2005-05-01,99545.63,21165.51,158121.33,278832.47
2005-06-01,86574.68,22634.7,151481.7,260691.08
2005-07-01,88791.4,17660.92,146946.78,253399.1
2005-08-01,92433.14,20232.05,136079.83,248745.02
2005-09-01,91351.72,17923.02,151979.68,261254.42
2005-10-01,94183.06,18265.92,150187.79,262636.77
2005-11-01,107754.83,18850.33,153722.54,280327.7
2005-12-01,130060.79,18774.72,157162.05,305997.56
2006-01-01,105663.36,7497.13,165212.68,278373.17
2006-02-01,118582.67,7244.5,162214.02,288041.19
2006-03-01,107388.05,8185.57,160683.37,276256.99
2006-04-01,116858.2,10965.78,158006.57,285830.55
2006-05-01,111651.46,7575.22,153438.38,272665.06
2006-06-01,102287.38,11229.9,162771.48,276288.76
2006-07-01,96672.34,9432.07,162964.44,269068.85
2006-08-01,109068.84,10217.67,163359.3,282645.81
2006-09-01,113500.21,10190.35,150112.43,273802.99
2006-10-01,132178.52,11653.3,154404.99,298236.81
2006-11-01,138850.7,9855.55,172557.47,321263.72
2006-12-01,121293.83,8864.06,174173.13,304331.02
2007-01-01,111844.35,12997.43,171741.84,296583.62
2007-02-01,120349.79,10508.71,171231.08,302089.58
2007-03-01,96581.26,13040.48,152065.61,261687.35
2007-04-01,115915.86,9322.21,148865.36,274103.43
2007-05-01,119772.22,12290.44,152517.59,284580.25
2007-06-01,109381.07,12204.8,164202.5,285788.37
2007-07-01,104765.86,12184.13,169359.15,286309.14
2007-08-01,123278.29,11771.54,155420.71,290470.54
2007-09-01,121896.07,10144,162900.38,294940.45
2007-10-01,112915.85,6027.95,157247.37,276191.17
2007-11-01,111197.04,8208.02,174279.56,293684.62
2007-12-01,102820.48,7035.89,168368.34,278224.71
2008-01-01,108904.63,0,172970.38,281875.01
2008-02-01,106440.8,0,182202.18,288642.98
2008-03-01,99549.86,0,174269.25,273819.11
2008-04-01,118092.29,665.23,169039.61,287797.13
2008-05-01,105172.82,0,174047.05,279219.87
2008-06-01,112073.18,0,172737.85,284811.03
2008-07-01,118552.89,0,148321.37,266874.26
2008-08-01,133263.9,74.35,164156.87,297495.12
2008-09-01,128950,257.06,154114.15,283321.21
2008-10-01,126040.36,0.06,161984.55,288024.97
2008-11-01,137639.51,329.05,162609.71,300578.27
2008-12-01,115026.2,183.22,173151.67,288361.09
2009-01-01,117302.42,343.45,162226.88,279872.75
2009-02-01,108520.01,696.35,172336.71,281553.07
2009-03-01,97568.17,746.8,178504.43,276819.4
2009-04-01,116626,420.86,169788.09,286834.95
2009-05-01,101128.24,366.71,160706.9,262201.85
2009-06-01,124118.77,0,180561.39,304680.16
2009-07-01,136759.11,0,178949.77,315708.88
2009-08-01,126462.08,0,172297.74,298759.82
2009-09-01,137638.4,441.54,162635.45,300715.39
2009-10-01,115292.98,527.77,159791.73,275612.48
2009-11-01,143950.83,307.75,167810.32,312068.9
2009-12-01,135034.53,271.86,173058.65,308365.04
2010-01-01,109532.74,222.95,163376.5,273132.19
2010-02-01,95609,416.14,189492.95,285518.09
2010-03-01,102605.26,0,177413.02,280018.28
2010-04-01,113159.74,332.79,200237.84,313730.37
2010-05-01,134591.97,1222.62,215478.56,351293.15
2010-06-01,131258.18,778.25,190630.97,322667.4
2010-07-01,132750.24,509.57,188541.12,321800.93
2010-08-01,111765.28,606.52,193640.24,306012.04
2010-09-01,122328.36,488.78,182781.25,305598.39
2010-10-01,125380.95,0,206856.8,332237.75
2010-11-01,122886.76,781.98,206154.07,329822.81
2010-12-01,128149.12,969.79,187402.86,316521.77
2011-01-01,124881.96,6039.26,192594.16,323515.38
2011-02-01,121130.19,6920.54,223594.68,351645.41
2011-03-01,125657.12,4897.34,209934.94,340489.4
2011-04-01,106059.94,5910.91,195145.79,307116.64
2011-05-01,118984.26,6429.02,202364.55,327777.83
2011-06-01,105442.27,4603.42,201641.61,311687.3
2011-07-01,125232.52,5961.06,219061.89,350255.47
2011-08-01,106523.16,5514.63,218433.25,330471.04
2011-09-01,154901.03,5786.1,211235.69,371922.82
2011-10-01,129514.87,6043.01,210264.04,345821.92
2011-11-01,141698.18,6202.49,213009.2,360909.87
2011-12-01,135881.67,4464.3,215899.45,356245.42
2012-01-01,124193.08,5241.77,220295.97,349730.82
2012-02-01,138531.23,8594.3,234299.67,381425.2
2012-03-01,147505.71,5869.35,225258.64,378633.7
2012-04-01,123242.73,9501.35,218105.5,350849.58
2012-05-01,120264.38,8031.71,232091.68,360387.77
2012-06-01,147309.36,7721.1,236949.02,391979.48
2012-07-01,129208.93,8940.98,233324.61,371474.52
2012-08-01,138100.53,7697.57,223123.37,368921.47
2012-09-01,139536.41,6126.2,214119.17,359781.78
2012-10-01,130621.65,8602.08,212938.52,352162.25
2012-11-01,124666.19,7849.31,237986.76,370502.26
2012-12-01,158272.24,8720.78,262010.57,429003.59
2013-01-01,144045.52,9514.17,273228.8,426788.49
2013-02-01,136948.83,8455.62,282208.73,427613.18
2013-03-01,144797.52,7616.64,281501.51,433915.67
2013-04-01,135478.8,6270.52,256594.98,398344.3
2013-05-01,148038.17,8154.04,243173.47,399365.68
2013-06-01,130579.23,8436.02,270587.61,409602.86
2013-07-01,127492.9,8975.91,245649.16,382117.97
2013-08-01,144524.71,8887.83,260475.8,413888.34
2013-09-01,133911.4,9633.28,260608.06,404152.74
2013-10-01,137619.01,7950.7,268667.96,414237.67
2013-11-01,163648.54,9697.86,267145.95,440492.35
2013-12-01,154152.85,11655.49,273339.8,439148.14
2014-01-01,150738.67,11016.13,277419.17,439173.97
2014-02-01,141300.45,10189.45,280923.82,432413.72
2014-03-01,140119.27,13328.38,302680.25,456127.9
2014-04-01,125557.58,12105.2,291574.08,429236.86
2014-05-01,138024.97,6774.77,306775.1,451574.84
2014-06-01,137216.83,1408.7,306791.81,445417.34
2014-07-01,144442.55,4100.33,312949.37,461492.25
2014-08-01,145707.29,0,321577.05,467284.34
2014-09-01,134568.07,0,332978.87,467546.94
2014-10-01,146081.46,1015.95,301952.05,449049.46
2014-11-01,151165.94,549.6,311696.49,463412.03
2014-12-01,148503.89,974.78,329829.1,479307.77
2015-01-01,163270.61,17465.52,312373.26,493109.39
2015-02-01,149286.04,16438.19,318770.21,484494.44
2015-03-01,153072.38,16308.23,312321.62,481702.23
2015-04-01,152002.48,16489.13,330737.33,499228.94
2015-05-01,125271.01,17743.39,302966.21,445980.61
2015-06-01,127746.24,29436.81,322526.2,479709.25
2015-07-01,121054.7,31799.26,304140.9,456994.86
2015-08-01,146035.29,46985.88,315932.07,508953.24
2015-09-01,140007.7,44990.11,332653.75,517651.56
2015-10-01,113834.44,5063.75,338066.32,456964.51
2015-11-01,132609.53,5858.2,343521.51,481989.24
2015-12-01,127293.04,7594.26,367611.37,502498.67
2016-01-01,143735.03,8244.32,375505.84,527485.19
2016-02-01,139969.85,8335.15,367001.46,515306.46
2016-03-01,131755.04,8564.15,366575.54,506894.73
2016-04-01,125803.19,7092.7,337427.05,470322.94
2016-05-01,120665.32,6441.22,327569.23,454675.77
2016-06-01,110355.12,7390.98,324639.49,442385.59
2016-07-01,98442.25,6786.02,338775.45,444003.72
2016-08-01,123654.14,7302.54,367294.42,498251.1
2016-09-01,134784.8,5849.23,356178.96,496812.99
2016-10-01,137710.45,5252.71,342900.19,485863.35
2016-11-01,142067.86,6393.55,389621.62,538083.03
2016-12-01,140211.31,5523.14,387452.73,533187.18
2017-01-01,127743.99,6056.33,401444.06,535244.38
2017-02-01,144346.08,5300.7,393662.54,543309.32
2017-03-01,119729.05,4385.72,411432.39,535547.16
2017-04-01,119283.19,5303.15,413958.79,538545.13
2017-05-01,134115.02,5676.7,383072.56,522864.28
2017-06-01,134801.63,5754.86,386070.22,526626.71
2017-07-01,124833.31,6025.27,388507.9,519366.48
2017-08-01,114533.48,4807.27,392170.24,511510.99
2017-09-01,108059.91,6162.28,411865.54,526087.73
2017-10-01,119621.05,6152.38,393326.35,519099.78
2017-11-01,118530.61,6614.55,385213.04,510358.2
2017-12-01,114876.78,5776.88,426447.55,547101.21
2018-01-01,130543.07,6639.8,406627.45,543810.32
2018-02-01,127954.64,4382.33,424058.07,556395.04
2018-03-01,120634.23,4928.76,456836.43,582399.42
2018-04-01,147058.87,4885.56,427787.16,579731.59
2018-05-01,124878.2,5870.92,452863.03,583612.15
2018-06-01,132034.74,4528.44,438563.34,575126.52
2018-07-01,125570.67,6310.65,440759.53,572640.85
2018-08-01,125514.77,6176.89,455718.09,587409.75
2018-09-01,119283.74,4233.3,435044.48,558561.52
