GEO,Canada,,,,,
,,,,,,
Sum of VALUE,Column Labels,,,,,
Row Labels,Hydraulic turbine,Solar,Tidal power turbine,Total electricity production from biomass,Wind power turbine,Grand Total
2008,745290148,,30036,,3374892,748695076
2009,725767486,,59906,,3355858,729183250
2010,694835696,0,55360,,7331450,702222506
2011,745556862,109828,52190,,15126532,760845412
2012,752720574,519430,54256,,17489414,770783674
2013,774604318,479808,29660,,18048068,793161854
2014,750217410,502888,30966,,17968112,768719376
2015,751243528,517630,25640,,17707720,769494518
2016,762811750,3577710,37094,,60958948,827385502
2017,781506620,4095514,11914,,61814642,847428690
2018,763277062,4411556,39050,,63696702,831424370
2019,755282366,4899720,1840,,65607744,825791670
2020,,,,,,
Jan,77587394,139122,0,1707432,5735080,85169028
Feb,72348510,243226,0,1535476,7080130,81207342
Mar,70607028,430286,0,1657050,6765512,79459876
Apr,58138916,487950,0,1594496,6098932,66320294
May,56906740,577678,0,1343752,5601968,64430138
Jun,56494584,669182,0,1333148,4609782,63106696
Jul,62650096,680210,0,1361714,3738814,68430834
Grand Total,9457847088,22341738,427912,10533068,392110300,9883260106
