Date,Canadian dollar   (CAD)                     ,U.S. dollar   (USD)                     
03-Jan-05,,1
04-Jan-05,,1
05-Jan-05,,1
06-Jan-05,1.2373,1
07-Jan-05,,1
10-Jan-05,,1
11-Jan-05,1.215,1
12-Jan-05,,1
13-Jan-05,,1
14-Jan-05,1.2206,1
17-Jan-05,1.2165,1
18-Jan-05,1.2224,1
19-Jan-05,,1
20-Jan-05,1.2327,1
21-Jan-05,1.2212,1
24-Jan-05,1.226,1
25-Jan-05,1.2383,1
26-Jan-05,1.2307,1
27-Jan-05,1.2367,1
28-Jan-05,1.2421,1
31-Jan-05,1.238,1
01-Feb-05,1.2397,1
02-Feb-05,1.2405,1
03-Feb-05,1.2428,1
04-Feb-05,,1
07-Feb-05,1.2566,1
08-Feb-05,1.248,1
09-Feb-05,,1
10-Feb-05,1.2409,1
11-Feb-05,1.2379,1
14-Feb-05,1.2345,1
15-Feb-05,1.2336,1
16-Feb-05,1.2424,1
17-Feb-05,1.23,1
18-Feb-05,,1
21-Feb-05,1.2338,1
22-Feb-05,1.2299,1
23-Feb-05,1.2383,1
24-Feb-05,1.2416,1
25-Feb-05,1.2408,1
28-Feb-05,1.2314,1
01-Mar-05,1.2429,1
02-Mar-05,1.2401,1
03-Mar-05,1.2462,1
04-Mar-05,1.2326,1
07-Mar-05,1.2293,1
08-Mar-05,1.2169,1
09-Mar-05,,1
10-Mar-05,,1
11-Mar-05,,1
14-Mar-05,1.2087,1
15-Mar-05,1.2078,1
16-Mar-05,1.2036,1
17-Mar-05,1.2022,1
18-Mar-05,,1
21-Mar-05,1.2117,1
22-Mar-05,1.2019,1
23-Mar-05,,1
24-Mar-05,1.2153,1
25-Mar-05,,1
28-Mar-05,1.2236,1
29-Mar-05,,1
30-Mar-05,1.2165,1
31-Mar-05,1.2096,1
01-Apr-05,1.2147,1
04-Apr-05,1.2203,1
05-Apr-05,1.2201,1
06-Apr-05,1.2219,1
07-Apr-05,,1
08-Apr-05,,1
11-Apr-05,1.2331,1
12-Apr-05,1.2406,1
13-Apr-05,1.2368,1
14-Apr-05,1.2417,1
15-Apr-05,,1
18-Apr-05,1.2481,1
19-Apr-05,1.241,1
20-Apr-05,1.2393,1
21-Apr-05,1.2391,1
22-Apr-05,1.2342,1
25-Apr-05,1.2375,1
26-Apr-05,1.2464,1
27-Apr-05,1.2466,1
28-Apr-05,1.2508,1
29-Apr-05,1.2569,1
02-May-05,1.2555,1
03-May-05,1.2547,1
04-May-05,1.2506,1
05-May-05,,1
06-May-05,1.2432,1
09-May-05,1.2378,1
10-May-05,1.2372,1
11-May-05,1.2475,1
12-May-05,1.2494,1
13-May-05,1.2624,1
16-May-05,1.2704,1
17-May-05,1.2665,1
18-May-05,1.2618,1
19-May-05,1.2623,1
20-May-05,1.2631,1
23-May-05,,1
24-May-05,1.2611,1
25-May-05,1.264,1
26-May-05,1.2681,1
27-May-05,1.2584,1
30-May-05,1.2558,1
31-May-05,1.251,1
01-Jun-05,,1
02-Jun-05,,1
03-Jun-05,,1
06-Jun-05,1.2448,1
07-Jun-05,1.2472,1
08-Jun-05,1.244,1
09-Jun-05,1.255,1
10-Jun-05,,1
13-Jun-05,1.2577,1
14-Jun-05,1.2554,1
15-Jun-05,1.24,1
16-Jun-05,1.2376,1
17-Jun-05,1.2345,1
20-Jun-05,1.232,1
21-Jun-05,1.2308,1
22-Jun-05,1.2355,1
23-Jun-05,1.2311,1
24-Jun-05,,1
27-Jun-05,1.2308,1
28-Jun-05,1.2312,1
29-Jun-05,1.2263,1
30-Jun-05,1.2256,1
01-Jul-05,,1
04-Jul-05,1.2401,1
05-Jul-05,1.2432,1
06-Jul-05,1.2362,1
07-Jul-05,1.2287,1
08-Jul-05,1.2208,1
11-Jul-05,,1
12-Jul-05,1.2051,1
13-Jul-05,1.2072,1
14-Jul-05,,1
15-Jul-05,,1
18-Jul-05,1.215,1
19-Jul-05,1.2189,1
20-Jul-05,1.2219,1
21-Jul-05,1.2178,1
22-Jul-05,,1
25-Jul-05,1.2191,1
26-Jul-05,1.2296,1
27-Jul-05,,1
28-Jul-05,1.234,1
29-Jul-05,1.2259,1
01-Aug-05,,1
02-Aug-05,,1
03-Aug-05,,1
04-Aug-05,1.212,1
05-Aug-05,1.2187,1
08-Aug-05,1.2132,1
09-Aug-05,1.2142,1
10-Aug-05,1.2115,1
11-Aug-05,1.2026,1
12-Aug-05,1.1947,1
15-Aug-05,1.197,1
16-Aug-05,1.198,1
17-Aug-05,1.2076,1
18-Aug-05,1.2182,1
19-Aug-05,1.2139,1
22-Aug-05,1.2041,1
23-Aug-05,1.1984,1
24-Aug-05,1.1958,1
25-Aug-05,1.1892,1
26-Aug-05,,1
