Date,USD/CAD
2005-01-31,1.240278
2005-02-28,1.232134
2005-03-31,1.211088
2005-04-30,1.254543
2005-05-31,1.255365
2005-06-30,1.228558
2005-07-31,1.22644
2005-08-31,1.190318
2005-09-30,1.163774
2005-10-31,1.17981
2005-11-30,1.166497
2005-12-31,1.163166
2006-01-31,1.141879
2006-02-28,1.137752
2006-03-31,1.165931
2006-04-30,1.120466
2006-05-31,1.09972
2006-06-30,1.114319
2006-07-31,1.128479
2006-08-31,1.10609
2006-09-30,1.117144
2006-10-31,1.124656
2006-11-30,1.141042
2006-12-31,1.158645
2007-01-31,1.17935
2007-02-28,1.168613
2007-03-31,1.153489
2007-04-30,1.111168
2007-05-31,1.069701
2007-06-30,1.058698
2007-07-31,1.063452
2007-08-31,1.054901
2007-09-30,0.99489
2007-10-31,0.949188
2007-11-30,0.998861
2007-12-31,0.987034
2008-01-31,1.00062
2008-02-29,0.98185
2008-03-31,1.027431
2008-04-30,1.007846
2008-05-31,0.993338
2008-06-30,1.015547
2008-07-31,1.023962
2008-08-31,1.057798
2008-09-30,1.056239
2008-10-31,1.216053
2008-11-30,1.239046
2008-12-31,1.220094
2009-01-31,1.234624
2009-02-28,1.266918
2009-03-31,1.257947
2009-04-30,1.191808
2009-05-31,1.096659
2009-06-30,1.158242
2009-07-31,1.078283
2009-08-31,1.09979
2009-09-30,1.071262
2009-10-31,1.078769
2009-11-30,1.056717
2009-12-31,1.048238
2010-01-31,1.068698
2010-02-28,1.054788
2010-03-31,1.015399
2010-04-30,1.010584
2010-05-31,1.047398
2010-06-30,1.058041
2010-07-31,1.030975
2010-08-31,1.064619
2010-09-30,1.029884
2010-10-31,1.020348
2010-11-30,1.02513
2010-12-31,0.996645
2011-01-31,1.000613
2011-02-28,0.974689
2011-03-31,0.970336
2011-04-30,0.947086
2011-05-31,0.970016
2011-06-30,0.964519
2011-07-31,0.952566
2011-08-31,0.978425
2011-09-30,1.044744
2011-10-31,0.995561
2011-11-30,1.019476
2011-12-31,1.021566
2012-01-31,1.000886
2012-02-29,0.988582
2012-03-31,0.996051
2012-04-30,0.985808
2012-05-31,1.03153
2012-06-30,1.01976
2012-07-31,1.002292
2012-08-31,0.987389
2012-09-30,0.98385
2012-10-31,1.000052
2012-11-30,0.993369
2012-12-31,0.994356
2013-01-31,0.999002
2013-02-28,1.028201
2013-03-31,1.01738
2013-04-30,1.010629
2013-05-31,1.034975
2013-06-30,1.051627
2013-07-31,1.028642
2013-08-31,1.053513
2013-09-30,1.03153
2013-10-31,1.044338
2013-11-30,1.061061
2013-12-31,1.063692
2014-01-31,1.113827
2014-02-28,1.107973
2014-03-31,1.105591
2014-04-30,1.097027
2014-05-31,1.084447
2014-06-30,1.067157
2014-07-31,1.090023
2014-08-31,1.087484
2014-09-30,1.119107
2014-10-31,1.124891
2014-11-30,1.142664
2014-12-31,1.162125
2015-01-31,1.271725
2015-02-28,1.250778
2015-03-31,1.267086
2015-04-30,1.20653
2015-05-31,1.245651
2015-06-30,1.245991
2015-07-31,1.306794
2015-08-31,1.315369
2015-09-30,1.334224
2015-10-31,1.309285
2015-11-30,1.335551
2015-12-31,1.387153
2016-01-31,1.397987
2016-02-29,1.353315
2016-03-31,1.299159
2016-04-30,1.255009
2016-05-31,1.308118
2016-06-30,1.295846
2016-07-31,1.305901
2016-08-31,1.31099
2016-09-30,1.312504
2016-10-31,1.34173
2016-11-30,1.34272
2016-12-31,1.342804
2017-01-31,1.30389
2017-02-28,1.33137
2017-03-31,1.331804
2017-04-30,1.36412
2017-05-31,1.34918
2017-06-30,1.296404
2017-07-31,1.25079
2017-08-31,1.24746
2017-09-30,1.246404
2017-10-31,1.28916
2017-11-30,1.289297
2017-12-31,1.257696
2018-01-31,1.230403
2018-02-28,1.28353
2018-03-31,1.289404
2018-04-30,1.28323
2018-05-31,1.29445
2018-06-30,1.313604
2018-07-31,1.30205
2018-08-31,1.30475
2018-09-30,1.284145
2018-10-31,1.315835
2018-11-30,1.32955
2018-12-31,1.356505
2019-01-31,1.312645
2019-02-28,1.31652
2019-03-31,1.334949
2019-04-30,1.33899
2019-05-31,1.35435
2019-06-30,1.309125
2019-07-31,1.31955
2019-08-31,1.33625
2019-09-30,1.32445
2019-10-31,1.316835
