Date,US GDP by Oil and Gas Extraction
2005-01-01,133.5
2005-04-01,143.7
2005-07-01,160.6
2005-10-01,186.3
2006-01-01,181.2
2006-04-01,179.5
2006-07-01,180.7
2006-10-01,174.2
2007-01-01,180.6
2007-04-01,205.7
2007-07-01,206
2007-10-01,231.1
2008-01-01,245.4
2008-04-01,307
2008-07-01,305.6
2008-10-01,228.1
2009-01-01,173.7
2009-04-01,164.7
2009-07-01,167.5
2009-10-01,185.6
2010-01-01,201.5
2010-04-01,182.2
2010-07-01,179.5
2010-10-01,192.1
2011-01-01,203.7
2011-04-01,224.1
2011-07-01,216.8
2011-10-01,227.8
2012-01-01,230.3
2012-04-01,216.6
2012-07-01,217.6
2012-10-01,230.5
2013-01-01,239.9
2013-04-01,253.6
2013-07-01,267.9
2013-10-01,259
2014-01-01,278
2014-04-01,294.2
2014-07-01,289.5
2014-10-01,251.4
2015-01-01,171.7
2015-04-01,172.1
2015-07-01,153.4
2015-10-01,135.7
2016-01-01,116.5
2016-04-01,135.4
2016-07-01,144.1
2016-10-01,158.2
2017-01-01,169.9
2017-04-01,167.2
2017-07-01,168.9
2017-10-01,192.6
2018-01-01,201.5
2018-04-01,212.7
2018-07-01,226.2
2018-10-01,218.8
2019-01-01,198.1
2019-04-01,199.5
2019-07-01,186
2019-10-01,188.8
