Date,Oil and gas extraction (million dollars)
2005-01-01,"75,199"
2005-02-01,"73,681"
2005-03-01,"72,409"
2005-04-01,"74,726"
2005-05-01,"75,464"
2005-06-01,"74,848"
2005-07-01,"74,822"
2005-08-01,"75,521"
2005-09-01,"76,413"
2005-10-01,"77,135"
2005-11-01,"79,008"
2005-12-01,"80,615"
2006-01-01,"79,122"
2006-02-01,"78,791"
2006-03-01,"77,956"
2006-04-01,"78,185"
2006-05-01,"78,640"
2006-06-01,"77,378"
2006-07-01,"77,395"
2006-08-01,"78,252"
2006-09-01,"78,565"
2006-10-01,"79,382"
2006-11-01,"78,642"
2006-12-01,"77,424"
2007-01-01,"77,474"
2007-02-01,"78,871"
2007-03-01,"79,590"
2007-04-01,"79,652"
2007-05-01,"79,389"
2007-06-01,"79,460"
2007-07-01,"77,000"
2007-08-01,"79,264"
2007-09-01,"78,669"
2007-10-01,"77,502"
2007-11-01,"76,279"
2007-12-01,"74,613"
2008-01-01,"75,256"
2008-02-01,"74,258"
2008-03-01,"75,575"
2008-04-01,"75,799"
2008-05-01,"73,918"
2008-06-01,"74,121"
2008-07-01,"76,852"
2008-08-01,"75,782"
2008-09-01,"74,929"
2008-10-01,"76,024"
2008-11-01,"75,095"
2008-12-01,"74,275"
2009-01-01,"74,974"
2009-02-01,"75,857"
2009-03-01,"73,561"
2009-04-01,"70,848"
2009-05-01,"71,401"
2009-06-01,"73,866"
2009-07-01,"74,473"
2009-08-01,"70,718"
2009-09-01,"71,887"
2009-10-01,"71,932"
2009-11-01,"72,906"
2009-12-01,"70,050"
2010-01-01,"69,877"
2010-02-01,"71,934"
2010-03-01,"73,571"
2010-04-01,"74,317"
2010-05-01,"77,201"
2010-06-01,"77,344"
2010-07-01,"76,685"
2010-08-01,"77,200"
2010-09-01,"75,640"
2010-10-01,"76,745"
2010-11-01,"78,812"
2010-12-01,"80,705"
2011-01-01,"79,303"
2011-02-01,"78,514"
2011-03-01,"78,929"
2011-04-01,"80,144"
2011-05-01,"76,295"
2011-06-01,"77,398"
2011-07-01,"79,747"
2011-08-01,"81,353"
2011-09-01,"81,785"
2011-10-01,"80,509"
2011-11-01,"79,795"
2011-12-01,"80,060"
2012-01-01,"81,115"
2012-02-01,"79,625"
2012-03-01,"77,385"
2012-04-01,"79,257"
2012-05-01,"79,860"
2012-06-01,"76,936"
2012-07-01,"76,188"
2012-08-01,"75,201"
2012-09-01,"75,403"
2012-10-01,"77,325"
2012-11-01,"77,714"
2012-12-01,"78,923"
2013-01-01,"78,369"
2013-02-01,"79,293"
2013-03-01,"80,715"
2013-04-01,"80,290"
2013-05-01,"79,506"
2013-06-01,"80,762"
2013-07-01,"81,584"
2013-08-01,"84,012"
2013-09-01,"83,471"
2013-10-01,"83,358"
2013-11-01,"84,845"
2013-12-01,"85,563"
2014-01-01,"85,463"
2014-02-01,"86,395"
2014-03-01,"88,173"
2014-04-01,"89,244"
2014-05-01,"90,025"
2014-06-01,"91,128"
2014-07-01,"90,037"
2014-08-01,"87,856"
2014-09-01,"90,165"
2014-10-01,"91,911"
2014-11-01,"91,755"
2014-12-01,"90,564"
2015-01-01,"94,280"
2015-02-01,"95,122"
2015-03-01,"93,014"
2015-04-01,"91,428"
2015-05-01,"88,247"
2015-06-01,"90,404"
2015-07-01,"95,130"
2015-08-01,"95,819"
2015-09-01,"90,213"
2015-10-01,"90,918"
2015-11-01,"92,404"
2015-12-01,"93,801"
2016-01-01,"94,730"
2016-02-01,"92,950"
2016-03-01,"93,402"
2016-04-01,"92,070"
2016-05-01,"78,464"
2016-06-01,"84,366"
2016-07-01,"95,156"
2016-08-01,"95,331"
2016-09-01,"98,760"
2016-10-01,"96,935"
2016-11-01,"99,463"
2016-12-01,"95,837"
2017-01-01,"99,165"
2017-02-01,"98,702"
2017-03-01,"96,975"
2017-04-01,"96,733"
2017-05-01,"98,981"
2017-06-01,"99,228"
2017-07-01,"101,123"
2017-08-01,"101,017"
2017-09-01,"101,866"
2017-10-01,"98,302"
2017-11-01,"101,670"
2017-12-01,"106,358"
2018-01-01,"101,606"
2018-02-01,"104,553"
2018-03-01,"106,848"
2018-04-01,"106,955"
2018-05-01,"109,637"
2018-06-01,"109,494"
2018-07-01,"108,462"
2018-08-01,"109,928"
2018-09-01,"107,435"
2018-10-01,"110,324"
2018-11-01,"108,107"
2018-12-01,"109,783"
2019-01-01,"106,010"
2019-02-01,"103,409"
2019-03-01,"108,048"
2019-04-01,"114,195"
2019-05-01,"110,894"
2019-06-01,"113,103"
2019-07-01,"109,860"
2019-08-01,"108,253"
2019-09-01,"108,314"
2019-10-01,"108,976"
2019-11-01,"109,386"
2019-12-01,"110,088"
2020-01-01,"109,236"
2020-02-01,"109,549"
2020-03-01,"109,250"
2020-04-01,"103,118"
2020-05-01,"99,818"
2020-06-01,"100,173"
2020-07-01,"97,703"
2020-08-01,"93,892"
