Year,Combustion fuels,Nuclear steam turbine,Total thermal generation
2005,157514564,86829896,244344460
2006,148280941,92418514,240699455
2007,161514893,88190431,249705324
2008,149873741,90585015,240458756
2009,136906916,84991779,221898695
2010,142753194,85526588,228279782
2011,145303330,88291216,233594546
2012,136756752,89492389,226249141
2013,135789962,97584431,233374393
2014,134318871,101207807,235526678
2015,137524464,96045793,233570257
2016,136356480,95687312,232043792
2017,129194240,95565022,224759262
2018,127916909,95029596,222946505
2019,127263359,95469256,222732615
