Date,U.S. Exports of Crude Oil (Thousand Barrels),US Dollars Index,US GDP by Oil and Gas Extraction
2005-01-01,1239.0,95.45,133.5
2005-02-01,541.0,95.698,0
2005-03-01,1111.0,95.307,0
2005-04-01,1345.0,96.234,143.7
2005-05-01,1694.0,96.47,0
2005-06-01,640.0,97.334,0
2005-07-01,1058.0,97.98700000000001,160.6
2005-08-01,531.0,97.148,0
2005-09-01,727.0,98.022,0
2005-10-01,530.0,98.90899999999999,186.3
2005-11-01,1445.0,99.04899999999999,0
2005-12-01,759.0,98.264,0
2006-01-01,849.0,97.124,181.2
2006-02-01,415.0,97.31299999999999,0
2006-03-01,903.0,97.516,0
2006-04-01,794.0,97.021,179.5
2006-05-01,829.0,95.1,0
2006-06-01,987.0,96.34100000000001,0
2006-07-01,414.0,96.491,180.7
2006-08-01,472.0,96.056,0
2006-09-01,631.0,95.73700000000001,0
2006-10-01,1152.0,95.465,174.2
2006-11-01,714.0,94.484,0
2006-12-01,839.0,93.88799999999999,0
2007-01-01,294.0,94.82700000000001,180.6
2007-02-01,703.0,94.65,0
2007-03-01,1047.0,94.417,0
2007-04-01,573.0,93.291,205.7
2007-05-01,1117.0,92.63,0
2007-06-01,1565.0,92.359,0
2007-07-01,822.0,90.979,206
2007-08-01,1307.0,91.175,0
2007-09-01,1013.0,90.096,0
2007-10-01,337.0,88.163,231.1
2007-11-01,603.0,87.124,0
2007-12-01,626.0,87.76899999999999,0
2008-01-01,364.0,87.111,245.4
2008-02-01,578.0,86.054,0
2008-03-01,910.0,84.38600000000001,0
2008-04-01,419.0,83.95700000000001,307
2008-05-01,581.0,84.30799999999999,0
2008-06-01,659.0,84.802,0
2008-07-01,894.0,84.398,305.6
2008-08-01,1234.0,86.461,0
2008-09-01,1173.0,88.575,0
2008-10-01,1321.0,93.654,228.1
2008-11-01,916.0,94.491,0
2008-12-01,1413.0,92.99600000000001,0
2009-01-01,1122.0,93.777,173.7
2009-02-01,833.0,96.406,0
2009-03-01,943.0,96.618,0
2009-04-01,799.0,94.22200000000001,164.7
2009-05-01,1634.0,91.49600000000001,0
2009-06-01,1698.0,90.868,0
2009-07-01,971.0,90.43299999999999,167.5
2009-08-01,1091.0,89.366,0
2009-09-01,1265.0,88.735,0
2009-10-01,2241.0,87.59200000000001,185.6
2009-11-01,1365.0,87.156,0
2009-12-01,2022.0,87.389,0
2010-01-01,1008.0,87.40100000000001,201.5
2010-02-01,1621.0,88.406,0
2010-03-01,1395.0,87.527,0
2010-04-01,1095.0,86.925,182.2
2010-05-01,1121.0,89.10799999999999,0
2010-06-01,937.0,89.45,0
2010-07-01,2140.0,87.977,179.5
2010-08-01,1113.0,87.20700000000001,0
2010-09-01,1838.0,86.27,0
2010-10-01,728.0,83.912,192.1
2010-11-01,953.0,83.955,0
2010-12-01,1249.0,84.59299999999999,0
2011-01-01,2228.0,83.56700000000001,203.7
2011-02-01,847.0,82.98899999999999,0
2011-03-01,1126.0,82.30799999999999,0
2011-04-01,1227.0,81.02600000000001,224.1
2011-05-01,1148.0,81.05199999999999,0
2011-06-01,1066.0,80.834,0
2011-07-01,2263.0,80.241,216.8
2011-08-01,1047.0,80.789,0
2011-09-01,1065.0,83.46,0
2011-10-01,1568.0,84.036,227.8
2011-11-01,1928.0,84.56200000000001,0
2011-12-01,1646.0,85.24700000000001,0
2012-01-01,2425.0,84.59,230.3
2012-02-01,2127.0,83.33,0
2012-03-01,2196.0,83.694,0
2012-04-01,1228.0,83.898,216.6
2012-05-01,2571.0,85.12799999999999,0
2012-06-01,1381.0,86.229,0
2012-07-01,2388.0,85.72,217.6
2012-08-01,1866.0,85.16,0
2012-09-01,2038.0,84.012,0
2012-10-01,2079.0,83.81700000000001,230.5
2012-11-01,2201.0,84.09899999999999,0
2012-12-01,2191.0,83.38799999999999,0
2013-01-01,3384.0,83.266,239.9
2013-02-01,3705.0,84.12299999999999,0
2013-03-01,3310.0,84.521,0
2013-04-01,4151.0,83.925,253.6
2013-05-01,4034.0,84.226,0
2013-06-01,3723.0,84.87700000000001,0
2013-07-01,3217.0,85.325,267.9
2013-08-01,2192.0,85.26299999999999,0
2013-09-01,3162.0,84.86200000000001,0
2013-10-01,3679.0,83.90799999999999,259
2013-11-01,7578.0,84.566,0
2013-12-01,6834.0,84.74600000000001,0
2014-01-01,7698.0,85.527,278
2014-02-01,6907.0,85.697,0
2014-03-01,7794.0,85.62100000000001,0
2014-04-01,8448.0,85.197,294.2
2014-05-01,9567.0,84.881,0
2014-06-01,11833.0,84.958,0
2014-07-01,13045.0,84.719,289.5
2014-08-01,12136.0,85.354,0
2014-09-01,10479.0,86.48200000000001,0
2014-10-01,11653.0,87.439,251.4
2014-11-01,15619.0,88.675,0
2014-12-01,13053.0,90.461,0
2015-01-01,15342.0,91.964,171.7
2015-02-01,12380.0,93.13799999999999,0
2015-03-01,13565.0,94.83200000000001,0
2015-04-01,17969.0,93.80799999999999,172.1
2015-05-01,16338.0,93.17,0
2015-06-01,13355.0,93.959,0
2015-07-01,16934.0,95.544,153.4
2015-08-01,14286.0,97.17200000000001,0
2015-09-01,12314.0,97.66,0
2015-10-01,15503.0,96.736,135.7
2015-11-01,9592.0,98.21799999999999,0
2015-12-01,12162.0,98.991,0
2016-01-01,15176.0,101.167,116.5
2016-02-01,13161.0,99.87799999999999,0
2016-03-01,18471.0,97.876,0
2016-04-01,18714.0,96.43299999999999,135.4
2016-05-01,24414.0,97.495,0
2016-06-01,15915.0,97.926,0
2016-07-01,16612.0,98.463,144.1
2016-08-01,22331.0,97.69200000000001,0
2016-09-01,23241.0,98.367,0
2016-10-01,15552.0,99.29899999999999,158.2
2016-11-01,18170.0,101.648,0
2016-12-01,14518.0,103.33,0
2017-01-01,22046.0,103.089,169.9
2017-02-01,32092.0,101.779,0
2017-03-01,28831.0,101.08,0
2017-04-01,33835.0,100.085,167.2
2017-05-01,34049.0,99.53299999999999,0
2017-06-01,25953.0,98.229,0
2017-07-01,29642.0,96.8,168.9
2017-08-01,25338.0,95.84700000000001,0
2017-09-01,43899.0,95.101,0
2017-10-01,53327.0,96.66,192.6
2017-11-01,46323.0,96.81200000000001,0
2017-12-01,47184.0,96.46799999999999,0
2018-01-01,41587.0,94.316,201.5
2018-02-01,44944.0,94.721,0
2018-03-01,51813.0,95.005,0
2018-04-01,52668.0,94.999,212.7
2018-05-01,62165.0,97.524,0
2018-06-01,66008.0,99.022,0
2018-07-01,66302.0,99.335,226.2
2018-08-01,54228.0,100.281,0
2018-09-01,63470.0,100.262,0
2018-10-01,72096.0,100.913,218.8
2018-11-01,78278.0,101.984,0
2018-12-01,77842.0,102.00299999999999,0
2019-01-01,79830.0,100.40100000000001,198.1
2019-02-01,83721.0,100.40299999999999,0
2019-03-01,83196.0,100.772,0
2019-04-01,85276.0,100.74600000000001,199.5
2019-05-01,89908.0,101.603,0
