"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300346","1.1.1","604369965","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300348","1.1.2","360025505","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300349","1.1.3","358446082","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Tidal power turbine","Megawatt hours","210","units ","0","v52300350","1.1.4","27643","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300351","1.1.5","1551780","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300352","1.1.6","244344460","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300353","1.1.7","130320252","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300354","1.1.8","86829896","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300355","1.1.9","1301338","","","","0"
"2005","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300347","1.1.10","25892974","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300356","1.2.1","556516796","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300358","1.2.2","328749229","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300359","1.2.3","327170926","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Tidal power turbine","Megawatt hours","210","units ","0","v52300360","1.2.4","27643","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300361","1.2.5","1550660","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300362","1.2.6","227767567","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300363","1.2.7","118713562","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Nuclear steam turbine","Megawatt hours","210","units ","0","v52300364","1.2.8","86829896","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300365","1.2.9","909705","","","","0"
"2005","Canada","2016A000011124","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300357","1.2.10","21314404","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300366","1.3.1","47853169","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300368","1.3.2","31276276","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Hydraulic turbine","Megawatt hours","210","units ","0","v52300369","1.3.3","31275156","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Wind power turbine","Megawatt hours","210","units ","0","v52300370","1.3.5","1120","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Total thermal generation","Megawatt hours","210","units ","0","v52300371","1.3.6","16576893","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Conventional steam turbine","Megawatt hours","210","units ","0","v52300372","1.3.7","11606690","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Internal combustion turbine","Megawatt hours","210","units ","0","v52300373","1.3.9","391633","","","","0"
"2005","Canada","2016A000011124","Electricity producer, industries","Combustion turbine","Megawatt hours","210","units ","0","v52300367","1.3.10","4578570","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300450","2.1.1","42136351","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300452","2.1.2","40498238","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300453","2.1.3","40498238","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300454","2.1.5","0","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300455","2.1.6","1638113","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300456","2.1.7","1328255","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300457","2.1.9","43867","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300451","2.1.10","265991","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300458","2.2.1","40314149","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300460","2.2.2","38949551","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300461","2.2.3","38949551","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300462","2.2.5","0","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300463","2.2.6","1364598","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300464","2.2.7","1328255","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300465","2.2.9","43867","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300459","2.2.10","-7524","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300466","2.3.1","1822202","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, industries","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300468","2.3.2","1548687","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, industries","Hydraulic turbine","Megawatt hours","210","units ","0","v52300469","2.3.3","1548687","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, industries","Total thermal generation","Megawatt hours","210","units ","0","v52300470","2.3.6","273515","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Electricity producer, industries","Combustion turbine","Megawatt hours","210","units ","0","v52300467","2.3.10","273515","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300471","3.1.1","46417","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300473","3.1.2","40104","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300474","3.1.5","40104","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300475","3.1.6","6313","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300476","3.1.7","6421","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300477","3.1.9","68","","","","0"
"2005","Prince Edward Island","2016A000211","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300472","3.1.10","-176","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300478","3.2.1","46417","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300480","3.2.2","40104","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300481","3.2.5","40104","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300482","3.2.6","6313","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300483","3.2.7","6421","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300484","3.2.9","68","","","","0"
"2005","Prince Edward Island","2016A000211","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300479","3.2.10","-176","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300485","4.1.1","12476923","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300487","4.1.2","1188456","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300488","4.1.3","1075368","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Tidal power turbine","Megawatt hours","210","units ","0","v52300489","4.1.4","27643","","","","0"
"2005","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300490","4.1.5","85445","","","","0"
