"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVEGBUS","194913","1349.185","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195013","1346.015","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195113","1360.698","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195213","1404.274","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195313","1356.353","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195413","1304.094","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195513","1321.695","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195613","1397.96","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195713","1480.092","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195813","1554.805","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","195913","1511.462","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196013","1569.167","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196113","1620.627","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196213","1780.151","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196313","1737.441","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196413","1852.542","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196513","2026.32","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196613","2028.381","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196713","2310.877","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196813","2313.457","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","196913","2613.763","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197013","2599.507","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197113","2790.405","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197213","2829.445","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197301","269.536","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197302","239.271","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197303","265.57","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197304","250.09","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197305","257.577","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197306","246.76","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197307","232.91","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197308","219.412","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197309","177.407","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197310","189.189","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197311","207.617","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197312","271.335","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197313","2826.675","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197401","301.368","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197402","277.084","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
