Date,U.S. Field Production of Crude Oil Thousand Barrels,U.S. Exports of Crude Oil (Thousand Barrels),US Dollars Index,Gross domestic product,US GDP by Oil and Gas Extraction,GDP % from O&G
2005-01-01,163380,1239.0,95.45,12761.3,133.5,1.05
2005-02-01,165030,541.0,95.698,12761.3,133.5,1.05
2005-03-01,168030,1111.0,95.307,12761.3,133.5,1.05
2005-04-01,166890,1345.0,96.234,12910,143.7,1.11
2005-05-01,167880,1694.0,96.47,12910,143.7,1.11
2005-06-01,163260,640.0,97.334,12910,143.7,1.11
2005-07-01,157590,1058.0,97.98700000000001,13142.9,160.6,1.22
2005-08-01,155940,531.0,97.148,13142.9,160.6,1.22
2005-09-01,126420,727.0,98.022,13142.9,160.6,1.22
2005-10-01,136650,530.0,98.90899999999999,13332.3,186.3,1.40
2005-11-01,145710,1445.0,99.04899999999999,13332.3,186.3,1.40
2005-12-01,149640,759.0,98.264,13332.3,186.3,1.40
2006-01-01,151440,849.0,97.124,13603.9,181.2,1.33
2006-02-01,150960,415.0,97.31299999999999,13603.9,181.2,1.33
2006-03-01,150810,903.0,97.516,13603.9,181.2,1.33
2006-04-01,152460,794.0,97.021,13749.8,179.5,1.31
2006-05-01,154530,829.0,95.1,13749.8,179.5,1.31
2006-06-01,154890,987.0,96.34100000000001,13749.8,179.5,1.31
2006-07-01,152820,414.0,96.491,13867.5,180.7,1.30
2006-08-01,151200,472.0,96.056,13867.5,180.7,1.30
2006-09-01,150930,631.0,95.73700000000001,13867.5,180.7,1.30
2006-10-01,153240,1152.0,95.465,14037.2,174.2,1.24
2006-11-01,151920,714.0,94.484,14037.2,174.2,1.24
2006-12-01,155580,839.0,93.88799999999999,14037.2,174.2,1.24
2007-01-01,153240,294.0,94.82700000000001,14208.6,180.6,1.27
2007-02-01,153540,703.0,94.65,14208.6,180.6,1.27
2007-03-01,153570,1047.0,94.417,14208.6,180.6,1.27
2007-04-01,155400,573.0,93.291,14382.4,205.7,1.43
2007-05-01,156330,1117.0,92.63,14382.4,205.7,1.43
2007-06-01,152250,1565.0,92.359,14382.4,205.7,1.43
2007-07-01,151140,822.0,90.979,14535,206,1.42
2007-08-01,149100,1307.0,91.175,14535,206,1.42
2007-09-01,147060,1013.0,90.096,14535,206,1.42
2007-10-01,150660,337.0,88.163,14681.5,231.1,1.57
2007-11-01,151020,603.0,87.124,14681.5,231.1,1.57
2007-12-01,153330,626.0,87.76899999999999,14681.5,231.1,1.57
2008-01-01,153450,364.0,87.111,14651,245.4,1.67
2008-02-01,154440,578.0,86.054,14651,245.4,1.67
2008-03-01,155670,910.0,84.38600000000001,14651,245.4,1.67
2008-04-01,155400,419.0,83.95700000000001,14805.6,307,2.07
2008-05-01,154290,581.0,84.30799999999999,14805.6,307,2.07
2008-06-01,154140,659.0,84.802,14805.6,307,2.07
2008-07-01,155310,894.0,84.398,14835.2,305.6,2.06
2008-08-01,150090,1234.0,86.461,14835.2,305.6,2.06
2008-09-01,119220,1173.0,88.575,14835.2,305.6,2.06
2008-10-01,142140,1321.0,93.654,14559.5,228.1,1.57
2008-11-01,152340,916.0,94.491,14559.5,228.1,1.57
2008-12-01,153090,1413.0,92.99600000000001,14559.5,228.1,1.57
2009-01-01,154320,1122.0,93.777,14394.5,173.7,1.21
2009-02-01,157170,833.0,96.406,14394.5,173.7,1.21
2009-03-01,156570,943.0,96.618,14394.5,173.7,1.21
2009-04-01,158340,799.0,94.22200000000001,14352.9,164.7,1.15
2009-05-01,161310,1634.0,91.49600000000001,14352.9,164.7,1.15
2009-06-01,158070,1698.0,90.868,14352.9,164.7,1.15
2009-07-01,161940,971.0,90.43299999999999,14420.3,167.5,1.16
2009-08-01,162540,1091.0,89.366,14420.3,167.5,1.16
2009-09-01,166770,1265.0,88.735,14420.3,167.5,1.16
2009-10-01,165720,2241.0,87.59200000000001,14628,185.6,1.27
2009-11-01,161850,1365.0,87.156,14628,185.6,1.27
2009-12-01,163560,2022.0,87.389,14628,185.6,1.27
2010-01-01,162120,1008.0,87.40100000000001,14721.4,201.5,1.37
2010-02-01,166590,1621.0,88.406,14721.4,201.5,1.37
2010-03-01,165450,1395.0,87.527,14721.4,201.5,1.37
2010-04-01,161760,1095.0,86.925,14926.1,182.2,1.22
2010-05-01,162030,1121.0,89.10799999999999,14926.1,182.2,1.22
2010-06-01,161400,937.0,89.45,14926.1,182.2,1.22
2010-07-01,158940,2140.0,87.977,15079.9,179.5,1.19
2010-08-01,163410,1113.0,87.20700000000001,15079.9,179.5,1.19
2010-09-01,168480,1838.0,86.27,15079.9,179.5,1.19
2010-10-01,168930,728.0,83.912,15240.8,192.1,1.26
2010-11-01,167280,953.0,83.955,15240.8,192.1,1.26
2010-12-01,168210,1249.0,84.59299999999999,15240.8,192.1,1.26
2011-01-01,164850,2228.0,83.56700000000001,15285.8,203.7,1.33
2011-02-01,162120,847.0,82.98899999999999,15285.8,203.7,1.33
2011-03-01,168450,1126.0,82.30799999999999,15285.8,203.7,1.33
2011-04-01,166740,1227.0,81.02600000000001,15496.2,224.1,1.45
2011-05-01,168690,1148.0,81.05199999999999,15496.2,224.1,1.45
2011-06-01,167640,1066.0,80.834,15496.2,224.1,1.45
2011-07-01,163200,2263.0,80.241,15591.9,216.8,1.39
2011-08-01,169950,1047.0,80.789,15591.9,216.8,1.39
2011-09-01,168420,1065.0,83.46,15591.9,216.8,1.39
2011-10-01,177030,1568.0,84.036,15796.5,227.8,1.44
2011-11-01,181050,1928.0,84.56200000000001,15796.5,227.8,1.44
2011-12-01,181440,1646.0,85.24700000000001,15796.5,227.8,1.44
2012-01-01,185130,2425.0,84.59,16019.8,230.3,1.44
2012-02-01,188010,2127.0,83.33,16019.8,230.3,1.44
2012-03-01,189780,2196.0,83.694,16019.8,230.3,1.44
2012-04-01,189720,1228.0,83.898,16152.3,216.6,1.34
2012-05-01,191040,2571.0,85.12799999999999,16152.3,216.6,1.34
2012-06-01,188070,1381.0,86.229,16152.3,216.6,1.34
2012-07-01,192720,2388.0,85.72,16257.2,217.6,1.34
2012-08-01,190470,1866.0,85.16,16257.2,217.6,1.34
2012-09-01,197880,2038.0,84.012,16257.2,217.6,1.34
2012-10-01,208980,2079.0,83.81700000000001,16358.9,230.5,1.41
2012-11-01,212310,2201.0,84.09899999999999,16358.9,230.5,1.41
2012-12-01,212970,2191.0,83.38799999999999,16358.9,230.5,1.41
2013-01-01,212490,3384.0,83.266,16569.6,239.9,1.45
2013-02-01,214530,3705.0,84.12299999999999,16569.6,239.9,1.45
2013-03-01,216180,3310.0,84.521,16569.6,239.9,1.45
2013-04-01,221160,4151.0,83.925,16637.9,253.6,1.52
2013-05-01,219780,4034.0,84.226,16637.9,253.6,1.52
2013-06-01,218310,3723.0,84.87700000000001,16637.9,253.6,1.52
2013-07-01,225720,3217.0,85.325,16848.7,267.9,1.59
2013-08-01,225960,2192.0,85.26299999999999,16848.7,267.9,1.59
2013-09-01,235110,3162.0,84.86200000000001,16848.7,267.9,1.59
2013-10-01,232740,3679.0,83.90799999999999,17083.1,259,1.52
2013-11-01,237510,7578.0,84.566,17083.1,259,1.52
2013-12-01,237840,6834.0,84.74600000000001,17083.1,259,1.52
2014-01-01,242190,7698.0,85.527,17104.6,278,1.63
2014-02-01,244560,6907.0,85.697,17104.6,278,1.63
2014-03-01,248790,7794.0,85.62100000000001,17104.6,278,1.63
2014-04-01,255630,8448.0,85.197,17432.9,294.2,1.69
2014-05-01,259320,9567.0,84.881,17432.9,294.2,1.69
2014-06-01,262380,11833.0,84.958,17432.9,294.2,1.69
2014-07-01,265380,13045.0,84.719,17721.7,289.5,1.63
2014-08-01,267600,12136.0,85.354,17721.7,289.5,1.63
