Date,Oil Export (x1000 m3 per day),Oil and gas extraction (Billion CA Dollars),CAD/USD
2005-01-01,238.37882000000002,75.199,0.8297392787189609
2005-02-01,236.55507999999998,73.681,0.8064755772599658
2005-03-01,230.86226000000002,72.409,0.8104992027167568
2005-04-01,246.3591,74.726,0.8235256735975912
2005-05-01,278.83246999999994,75.464,0.8002594033813779
2005-06-01,260.69108,74.848,0.7970797209803594
2005-07-01,253.3991,74.822,0.813008676912259
2005-08-01,248.74501999999998,75.521,0.8215006051081449
2005-09-01,261.25442000000004,76.413,0.8422627141538124
2005-10-01,262.63677,77.135,0.8562895541798498
2005-11-01,280.3277,79.008,0.8455742553589967
2005-12-01,305.99756,80.615,0.8558624207177121
2006-01-01,278.37316999999996,79.122,0.8595264116276683
2006-02-01,288.04119000000003,78.791,0.8773762879122783
2006-03-01,276.25699,77.956,0.8785184096540791
2006-04-01,285.83055,78.185,0.8594149389727543
2006-05-01,272.66506,78.64,0.8893381570710068
2006-06-01,276.28876,77.378,0.9033264770239464
2006-07-01,269.06885,77.395,0.8995895839144563
2006-08-01,282.64581,78.252,0.8825482465076926
2006-09-01,273.80298999999997,78.565,0.9049636376443112
2006-10-01,298.23681,79.382,0.8955857385600451
2006-11-01,321.26372,78.642,0.8815562158707032
2006-12-01,304.33102,77.424,0.8748266067967296
2007-01-01,296.58362,77.474,0.8618545907039642
2007-02-01,302.08958,78.871,0.8492596699167596
2007-03-01,261.68735,79.59,0.8533909789063006
2007-04-01,274.10343,79.652,0.8667187296402624
2007-05-01,284.58025,79.389,0.89583196156638
2007-06-01,285.78837,79.46,0.937286362034866
2007-07-01,286.30914,77.0,0.9480519480950412
2007-08-01,290.47053999999997,79.264,0.9385862471873764
2007-09-01,294.94045,78.669,0.9487055240617324
2007-10-01,276.19117,77.502,1.006364022058869
2007-11-01,293.68462,76.279,1.0555474239290017
2007-12-01,278.22471,74.613,1.00449132359379
2008-01-01,281.87501000000003,75.256,1.0188248321286604
2008-02-01,288.64297999999997,74.258,1.0028288543430806
2008-03-01,273.81910999999997,75.575,1.0182611614766084
2008-04-01,287.79713,75.799,0.974547264926825
2008-05-01,279.21987,73.918,0.9905029001094874
2008-06-01,284.81103,74.121,1.0081913925439674
2008-07-01,266.87426,76.852,0.9820705970634988
2008-08-01,297.49512,75.782,0.9745932415596856
2008-09-01,283.32121,74.929,0.938145652829286
2008-10-01,288.02497,76.024,0.9442730686766896
2008-11-01,300.57827000000003,75.095,0.8135323002524367
2008-12-01,288.36109000000005,74.275,0.8017806041152714
2009-01-01,279.87275,74.974,0.8187433816065122
2009-02-01,281.55307,75.857,0.8062912865625842
2009-03-01,276.81940000000003,73.561,0.7909915545607868
2009-04-01,286.83495,70.848,0.790145549962052
2009-05-01,262.20185,71.401,0.8409350056820767
2009-06-01,304.68016,73.866,0.923556537012438
2009-07-01,315.70888,74.473,0.8688362919228972
2009-08-01,298.75982,70.718,0.9280556649302412
2009-09-01,300.71539,71.887,0.9133486472997044
2009-10-01,275.61248,71.932,0.9319274405317
2009-11-01,312.06890000000004,72.906,0.9277833500827206
2009-12-01,308.36503999999996,70.05,0.9564113952448636
2010-01-01,273.13219,69.877,0.9522739291255334
2010-02-01,285.51809000000003,71.934,0.9357680925500508
2010-03-01,280.01828,73.571,0.9480583204678114
2010-04-01,313.73037,74.317,0.9886947585126666
2010-05-01,351.29315,77.201,0.9952163838728078
2010-06-01,322.66740000000004,77.344,0.9521384928527834
2010-07-01,321.80093,76.685,0.9393477598625308
2010-08-01,306.01203999999996,77.2,0.9683365541649948
2010-09-01,305.59839,75.64,0.9439528023598821
2010-10-01,332.23775,76.745,0.9745118921064154
2010-11-01,329.82281,78.812,0.9834745762819798
2010-12-01,316.52177,80.705,0.9816616766786326
2011-01-01,323.51538,79.303,1.003002552131368
