Date,USD Index,Wood (mil kWh),Waste (mil kWh),Geothermal (mil kWh),Solar (mil kWh),Wind (mil kWh),Total Renewable (mil kWh),Coal (mil kWh),Petroleum (mil kWh),Natural_Gas (mil kWh),Other_Gas (mil kWh),Conventional Hydroelectric Power (mil kWh),Total Oil (mil kWh)
2005-01-01,95.45,3333.0759999999996,1278.347,1252.144,8.668,1131.569,7003.804,177013.907,12190.178,51337.627,1126.191,24272.165,265940.068
2005-02-01,95.698,3055.295,1123.407,1063.014,13.082,966.482,6221.280000000001,155818.014,7314.51,44912.617,1076.0510000000002,21606.773999999998,230727.96600000001
2005-03-01,95.307,3287.717,1277.9289999999999,1204.252,38.157,1560.626,7368.681,163612.7,8351.9,51896.973,1214.487,22936.068,248012.128
2005-04-01,96.234,3035.547,1222.542,1187.134,58.263000000000005,1697.504,7200.99,143083.239,6952.153,52016.28599999999,1121.4589999999998,23058.359,226231.49599999998
2005-05-01,96.47,3100.697,1351.152,1264.308,81.153,1746.43,7543.740000000001,153957.962,6713.918000000001,54826.004,1191.303,27278.511000000002,243967.69800000003
2005-06-01,97.334,3173.505,1329.134,1248.056,88.476,1796.924,7636.094999999999,174866.997,10783.858999999999,75635.493,1149.14,26782.99,289218.479
2005-07-01,97.98700000000001,3417.445,1381.227,1272.697,72.329,1420.942,7564.64,186090.75699999998,13033.243,96819.41,1160.882,25956.842,323061.13399999996
2005-08-01,97.148,3420.414,1348.025,1253.785,75.845,1138.032,7236.101000000001,187573.754,14527.518999999998,100786.65400000001,1171.8110000000001,21565.679,325625.417
2005-09-01,98.022,3258.783,1283.007,1222.6589999999999,61.108000000000004,1468.3470000000002,7293.904,171656.215,12279.15,73355.483,1145.276,17363.683999999997,275799.808
2005-10-01,98.90899999999999,3245.61,1205.376,1247.204,37.665,1446.19,7182.045,162436.793,10177.971,55940.880999999994,1080.067,18006.36,247642.072
2005-11-01,99.04899999999999,3189.85,1290.21,1219.61,12.755,1609.691,7322.115999999999,158797.527,6867.441999999999,49440.225999999995,965.19,19352.668,235423.053
2005-12-01,98.264,3338.4770000000003,1330.037,1256.88,2.793,1827.8139999999999,7756.001,177965.18,13033.171999999999,53992.600999999995,1062.287,22141.157000000003,268194.397
2006-01-01,97.124,3421.613,1388.234,1229.567,12.935,2382.633,8434.982,169236.081,6135.956999999999,43806.920999999995,1156.888,27436.656000000003,247772.50300000003
2006-02-01,97.31299999999999,3051.36,1270.35,1110.817,19.533,1921.9579999999999,7374.018,158616.189,4923.427,47408.989,1113.774,24761.682999999997,236824.062
2006-03-01,97.516,3201.388,1344.34,1261.29,33.404,2358.632,8199.054,161325.115,4013.4640000000004,54921.742,1233.513,24624.609,246118.443
2006-04-01,97.021,2980.116,1226.903,1129.089,52.074,2471.762,7859.9439999999995,141426.234,4690.155,56090.856,1180.022,28555.682999999997,231942.94999999998
2006-05-01,95.1,3039.296,1371.355,1095.6019999999999,70.735,2458.683,8035.670999999999,157009.755,4419.887,65585.605,1295.444,30818.443,259129.13399999996
2006-06-01,96.34100000000001,3133.77,1328.039,1199.177,69.702,2051.766,7782.454,169693.478,5766.446,81060.21,1167.067,29757.284,287444.48500000004
2006-07-01,96.491,3444.309,1399.065,1261.3519999999999,61.656000000000006,1955.0639999999999,8121.446,187820.872,7002.078,108093.51400000001,1267.2839999999999,25439.392000000003,329623.14
