,Year,Candian Dollar Index,Hydraulic turbine,Solar,Tidal power turbine,Wind power turbine,Other types of electricity generation,Total renewable energy generation,Combustion fuels,Nuclear steam turbine,Total thermal generation
0,2005,0.8251730902571488,358446082,0,27643,1551780,0,360025505,157514564,86829896,244344460
1,2006,0.8838808926296391,349468303,0,19144,2448335,0,351935782,148280941,92418514,240699455
2,2007,0.9305073984745286,364055135,0,22524,2977206,0,367054865,161514893,88190431,249705324
3,2008,0.9556293225021246,373822743,0,15018,3750629,0,377588390,149873741,90585015,240458756
4,2009,0.8747521754498813,365110421,4502,29954,6575235,1918497,373638609,136906916,84991779,221898695
5,2010,0.9636196032363404,347980845,115745,27680,8636950,2975953,359737173,142753194,85526588,228279782
6,2011,1.016032397544755,372076377,256935,26095,10086688,2509521,384955616,145303330,88291216,233594546
7,2012,0.999053749979774,376574355,315843,27128,11198373,2723937,390839636,136756752,89492389,226249141
8,2013,0.9716702296215768,387980873,360478,14830,11033989,2441392,401831562,135789962,97584431,233374393
9,2014,0.9084945603442092,378786255,325184,15483,12688899,2238903,394054724,134318871,101207807,235526678
10,2015,0.7884761556837697,378481214,1426619,12820,26696727,139421,406756801,137524464,96045793,233570257
11,2016,0.7550479804188258,381687991,1779083,18547,30623786,177803,414287210,136356480,95687312,232043792
12,2017,0.7677978777439952,390751401,2001842,5957,31198479,202863,424160542,129194240,95565022,224759262
13,2018,0.7746678559565604,382144912,2192046,19525,32813021,210747,417380251,127916909,95029596,222946505
14,2019,0.7517786881556724,375982127,2195412,920,32333073,168289,410679821,127263359,95469256,222732615
