Date,Total Oil (mil kWh),Total Renewable (mil kWh)
2005-01-01,265940.068,7003.804
2005-02-01,230727.96600000001,6221.280000000001
2005-03-01,248012.128,7368.681
2005-04-01,226231.49599999998,7200.99
2005-05-01,243967.69800000003,7543.740000000001
2005-06-01,289218.479,7636.094999999999
2005-07-01,323061.13399999996,7564.64
2005-08-01,325625.417,7236.101000000001
2005-09-01,275799.808,7293.904
2005-10-01,247642.072,7182.045
2005-11-01,235423.053,7322.115999999999
2005-12-01,268194.397,7756.001
2006-01-01,247772.50300000003,8434.982
2006-02-01,236824.062,7374.018
2006-03-01,246118.443,8199.054
2006-04-01,231942.94999999998,7859.9439999999995
2006-05-01,259129.13399999996,8035.670999999999
2006-06-01,287444.48500000004,7782.454
2006-07-01,329623.14,8121.446
2006-08-01,327426.23699999996,7893.94
2006-09-01,257263.41999999998,7720.393
2006-10-01,255162.877,8294.693
2006-11-01,238962.397,8304.366
2006-12-01,256871.897,8504.527
2007-01-01,270406.968,8667.594
2007-02-01,249656.596,7876.8679999999995
2007-03-01,246827.885,8778.475
2007-04-01,236536.354,8693.002
2007-05-01,256077.974,8620.988
2007-06-01,284771.679,8548.929
2007-07-01,311662.147,8371.238000000001
2007-08-01,339732.06500000006,8894.68
2007-09-01,278720.94299999997,8842.627000000002
2007-10-01,261269.23700000002,9361.568
2007-11-01,239868.98599999998,9028.759999999998
2007-12-01,264216.85,9552.783
2008-01-01,281815.523,10242.759
2008-02-01,250138.929,9348.761
2008-03-01,248783.71300000002,10703.089
2008-04-01,236684.747,10971.001
2008-05-01,248849.41399999996,11099.829000000002
2008-06-01,290934.83900000004,11144.837
2008-07-01,317940.42000000004,10333.21
2008-08-01,306437.036,9514.349
2008-09-01,261664.517,8923.551
2008-10-01,244686.20400000003,10647.069
2008-11-01,235469.443,10782.473999999998
2008-12-01,258157.931,12390.077000000001
2009-01-01,268715.908,11739.364999999998
2009-02-01,224968.389,11230.678000000002
2009-03-01,229744.301,12949.532
2009-04-01,216427.95100000003,12985.922999999999
2009-05-01,233359.74300000002,11864.468
2009-06-01,265644.167,11467.483
2009-07-01,287836.52999999997,11187.130000000001
2009-08-01,296734.09500000003,11790.899000000001
2009-09-01,250505.28100000002,10524.415
2009-10-01,235769.272,12668.078
2009-11-01,224085.12400000004,12810.073
2009-12-01,266105.891,13060.661
2010-01-01,275133.56,12804.969
2010-02-01,243030.32299999997,10900.525000000001
2010-03-01,232201.843,14653.619999999999
2010-04-01,213921.549,15607.228000000001
2010-05-01,246028.383,14630.821999999998
2010-06-01,292567.283,14209.221
2010-07-01,324115.91599999997,13107.135999999999
2010-08-01,323652.192,13100.077
2010-09-01,262751.429,13227.41
2010-10-01,230726.63999999998,13791.077000000001
2010-11-01,226959.73500000002,15782.287
2010-12-01,272475.52900000004,15358.633999999998
2011-01-01,274975.00299999997,14741.986
2011-02-01,231608.001,16115.568000000001
2011-03-01,235564.629,16650.012000000002
2011-04-01,229052.876,18125.231
2011-05-01,248184.40300000002,17637.898999999998
2011-06-01,284504.042,17284.122
2011-07-01,331746.156,14000.445
2011-08-01,320581.361,14053.537999999999
2011-09-01,257486.16700000002,13047.848000000002
2011-10-01,228236.712,16549.797999999995
2011-11-01,220309.993,18589.431
2011-12-01,245972.93999999997,17185.316
2012-01-01,246452.812,19905.799
2012-02-01,227711.22799999997,16995.975
2012-03-01,226302.363,20200.281
2012-04-01,219968.60899999997,18563.396
2012-05-01,254708.92599999998,18898.119
2012-06-01,276557.39700000006,18469.578999999998
2012-07-01,329186.118,15724.779999999999
2012-08-01,310118.85599999997,15329.996000000001
2012-09-01,253968.50600000002,15401.311999999998
2012-10-01,231925.402,19224.895
2012-11-01,230314.235,18217.222
2012-12-01,244050.016,21401.619
2013-01-01,255410.715,21518.23
2013-02-01,227213.656,20330.387
2013-03-01,238960.26600000003,22810.187
2013-04-01,217873.409,23960.847999999998
2013-05-01,235277.71399999998,23254.258
2013-06-01,268671.948,20954.234
2013-07-01,304852.965,18592.805999999997
2013-08-01,295807.331,17381.906
2013-09-01,255407.63100000002,18991.317000000003
2013-10-01,229872.343,21057.542
2013-11-01,225803.456,23030.468
2013-12-01,259381.607,21625.881999999998
2014-01-01,277796.51700000005,25493.22
2014-02-01,240212.97099999996,21000.823
2014-03-01,242904.135,25850.679000000004
2014-04-01,214109.763,26475.805
2014-05-01,237437.71899999998,23822.306
2014-06-01,264777.677,24464.129
2014-07-01,292176.515,21044.185
2014-08-01,293792.73600000003,19020.809
2014-09-01,251841.13299999997,19893.358
2014-10-01,228738.17500000002,22718.45
2014-11-01,224917.379,26807.475
2014-12-01,241234.861,22621.458
2015-01-01,262495.608,23121.050000000003
2015-02-01,247923.67400000003,22561.316
2015-03-01,235060.256,23943.307
2015-04-01,206973.13300000006,26494.356
2015-05-01,229263.79799999998,26182.205
2015-06-01,270543.053,22560.653000000002
2015-07-01,304772.79400000005,23454.496999999996
2015-08-01,296204.953,22821.393
2015-09-01,260360.10199999998,22647.379999999997
2015-10-01,226071.615,24708.023
2015-11-01,211412.779,28064.821
2015-12-01,225244.076,28601.903
2016-01-01,252673.972,26679.023999999998
2016-02-01,218666.863,28737.868
2016-03-01,206450.75000000003,31084.071
2016-04-01,199837.889,29666.445
2016-05-01,220622.55399999997,28711.060999999998
2016-06-01,273686.488,26236.361
2016-07-01,312724.028,28372.470999999998
2016-08-01,313363.34,24465.321
2016-09-01,259054.65600000002,26529.379
2016-10-01,221915.40799999997,29748.968
2016-11-01,202572.96000000002,28819.107
2016-12-01,240711.071,32582.873
2017-01-01,240625.257,29929.293
2017-02-01,196041.13299999997,30963.819
2017-03-01,216767.22,36935.258
2017-04-01,201491.908,36513.907999999996
2017-05-01,226275.714,35192.774
2017-06-01,258205.15899999999,32774.407
2017-07-01,304082.588,28588.481
2017-08-01,285589.74600000004,26185.839999999997
2017-09-01,238092.133,29297.016
2017-10-01,216843.49,35263.615999999995
2017-11-01,208473.913,32359.226000000002
2017-12-01,243981.348,32246.107
2018-01-01,262257.62,35761.701
2018-02-01,208114.037,33311.011
2018-03-01,215640.25699999998,38255.901
2018-04-01,202469.031,38503.08900000001
2018-05-01,233679.635,37268.037
2018-06-01,262919.143,38608.102
2018-07-01,308297.593,30070.548
2018-08-01,302050.30999999994,33296.221
2018-09-01,260453.528,30678.653000000002
2018-10-01,232546.768,32396.009
2018-11-01,225605.197,32077.209000000003
2018-12-01,235799.25600000002,34065.346
2019-01-01,247837.01399999997,35344.087
2019-02-01,215598.279,32754.005
2019-03-01,219720.51800000004,38309.019
2019-04-01,190802.502,42276.312000000005
2019-05-01,220970.75900000002,39418.618
2019-06-01,244628.327,37207.812000000005
2019-07-01,302117.271,36760.997
2019-08-01,294649.174,34485.162
2019-09-01,255713.817,37310.546
2019-10-01,218937.22500000003,40190.856
2019-11-01,216288.66,35696.095
2019-12-01,226608.27399999998,36974.441000000006
