Date,USD Index,Total Renewable (mil kWh),Total Oil (mil kWh)
2005-01-01,95.45,7003.804,265940.068
2005-02-01,95.698,6221.280000000001,230727.96600000001
2005-03-01,95.307,7368.681,248012.128
2005-04-01,96.234,7200.99,226231.49599999998
2005-05-01,96.47,7543.740000000001,243967.69800000003
2005-06-01,97.334,7636.094999999999,289218.479
2005-07-01,97.98700000000001,7564.64,323061.13399999996
2005-08-01,97.148,7236.101000000001,325625.417
2005-09-01,98.022,7293.904,275799.808
2005-10-01,98.90899999999999,7182.045,247642.072
2005-11-01,99.04899999999999,7322.115999999999,235423.053
2005-12-01,98.264,7756.001,268194.397
2006-01-01,97.124,8434.982,247772.50300000003
2006-02-01,97.31299999999999,7374.018,236824.062
2006-03-01,97.516,8199.054,246118.443
2006-04-01,97.021,7859.9439999999995,231942.94999999998
2006-05-01,95.1,8035.670999999999,259129.13399999996
2006-06-01,96.34100000000001,7782.454,287444.48500000004
2006-07-01,96.491,8121.446,329623.14
2006-08-01,96.056,7893.94,327426.23699999996
2006-09-01,95.73700000000001,7720.393,257263.41999999998
2006-10-01,95.465,8294.693,255162.877
2006-11-01,94.484,8304.366,238962.397
2006-12-01,93.88799999999999,8504.527,256871.897
2007-01-01,94.82700000000001,8667.594,270406.968
2007-02-01,94.65,7876.8679999999995,249656.596
2007-03-01,94.417,8778.475,246827.885
2007-04-01,93.291,8693.002,236536.354
2007-05-01,92.63,8620.988,256077.974
2007-06-01,92.359,8548.929,284771.679
2007-07-01,90.979,8371.238000000001,311662.147
2007-08-01,91.175,8894.68,339732.06500000006
2007-09-01,90.096,8842.627000000002,278720.94299999997
2007-10-01,88.163,9361.568,261269.23700000002
2007-11-01,87.124,9028.759999999998,239868.98599999998
2007-12-01,87.76899999999999,9552.783,264216.85
2008-01-01,87.111,10242.759,281815.523
2008-02-01,86.054,9348.761,250138.929
2008-03-01,84.38600000000001,10703.089,248783.71300000002
2008-04-01,83.95700000000001,10971.001,236684.747
2008-05-01,84.30799999999999,11099.829000000002,248849.41399999996
2008-06-01,84.802,11144.837,290934.83900000004
2008-07-01,84.398,10333.21,317940.42000000004
2008-08-01,86.461,9514.349,306437.036
2008-09-01,88.575,8923.551,261664.517
2008-10-01,93.654,10647.069,244686.20400000003
2008-11-01,94.491,10782.473999999998,235469.443
2008-12-01,92.99600000000001,12390.077000000001,258157.931
2009-01-01,93.777,11739.364999999998,268715.908
2009-02-01,96.406,11230.678000000002,224968.389
2009-03-01,96.618,12949.532,229744.301
2009-04-01,94.22200000000001,12985.922999999999,216427.95100000003
2009-05-01,91.49600000000001,11864.468,233359.74300000002
2009-06-01,90.868,11467.483,265644.167
2009-07-01,90.43299999999999,11187.130000000001,287836.52999999997
2009-08-01,89.366,11790.899000000001,296734.09500000003
2009-09-01,88.735,10524.415,250505.28100000002
2009-10-01,87.59200000000001,12668.078,235769.272
2009-11-01,87.156,12810.073,224085.12400000004
2009-12-01,87.389,13060.661,266105.891
2010-01-01,87.40100000000001,12804.969,275133.56
2010-02-01,88.406,10900.525000000001,243030.32299999997
2010-03-01,87.527,14653.619999999999,232201.843
2010-04-01,86.925,15607.228000000001,213921.549
2010-05-01,89.10799999999999,14630.821999999998,246028.383
2010-06-01,89.45,14209.221,292567.283
2010-07-01,87.977,13107.135999999999,324115.91599999997
2010-08-01,87.20700000000001,13100.077,323652.192
2010-09-01,86.27,13227.41,262751.429
2010-10-01,83.912,13791.077000000001,230726.63999999998
2010-11-01,83.955,15782.287,226959.73500000002
2010-12-01,84.59299999999999,15358.633999999998,272475.52900000004
2011-01-01,83.56700000000001,14741.986,274975.00299999997
2011-02-01,82.98899999999999,16115.568000000001,231608.001
2011-03-01,82.30799999999999,16650.012000000002,235564.629
2011-04-01,81.02600000000001,18125.231,229052.876
2011-05-01,81.05199999999999,17637.898999999998,248184.40300000002
2011-06-01,80.834,17284.122,284504.042
2011-07-01,80.241,14000.445,331746.156
2011-08-01,80.789,14053.537999999999,320581.361
2011-09-01,83.46,13047.848000000002,257486.16700000002
2011-10-01,84.036,16549.797999999995,228236.712
2011-11-01,84.56200000000001,18589.431,220309.993
2011-12-01,85.24700000000001,17185.316,245972.93999999997
2012-01-01,84.59,19905.799,246452.812
2012-02-01,83.33,16995.975,227711.22799999997
2012-03-01,83.694,20200.281,226302.363
2012-04-01,83.898,18563.396,219968.60899999997
2012-05-01,85.12799999999999,18898.119,254708.92599999998
2012-06-01,86.229,18469.578999999998,276557.39700000006
2012-07-01,85.72,15724.779999999999,329186.118
2012-08-01,85.16,15329.996000000001,310118.85599999997
2012-09-01,84.012,15401.311999999998,253968.50600000002
2012-10-01,83.81700000000001,19224.895,231925.402
2012-11-01,84.09899999999999,18217.222,230314.235
2012-12-01,83.38799999999999,21401.619,244050.016
2013-01-01,83.266,21518.23,255410.715
2013-02-01,84.12299999999999,20330.387,227213.656
2013-03-01,84.521,22810.187,238960.26600000003
2013-04-01,83.925,23960.847999999998,217873.409
2013-05-01,84.226,23254.258,235277.71399999998
2013-06-01,84.87700000000001,20954.234,268671.948
2013-07-01,85.325,18592.805999999997,304852.965
2013-08-01,85.26299999999999,17381.906,295807.331
2013-09-01,84.86200000000001,18991.317000000003,255407.63100000002
2013-10-01,83.90799999999999,21057.542,229872.343
2013-11-01,84.566,23030.468,225803.456
2013-12-01,84.74600000000001,21625.881999999998,259381.607
2014-01-01,85.527,25493.22,277796.51700000005
2014-02-01,85.697,21000.823,240212.97099999996
2014-03-01,85.62100000000001,25850.679000000004,242904.135
2014-04-01,85.197,26475.805,214109.763
2014-05-01,84.881,23822.306,237437.71899999998
2014-06-01,84.958,24464.129,264777.677
2014-07-01,84.719,21044.185,292176.515
2014-08-01,85.354,19020.809,293792.73600000003
2014-09-01,86.48200000000001,19893.358,251841.13299999997
2014-10-01,87.439,22718.45,228738.17500000002
2014-11-01,88.675,26807.475,224917.379
